Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
649,Theme Hospital,PC,1997,2.3,0.1,0,0,2.4
807,Sim Theme Park,PC,1998,2.04,0.04,0,0,2.08
1465,Command & Conquer: Red Alert 2,PC,2000,1.32,0.02,0,0,1.34
1719,Spore,PC,2008,0.03,1.06,0,0.09,1.17
2184,Kessen,PS2,2000,0.27,0.21,0.41,0.07,0.95
2643,Battle Stations,PS,1997,0.43,0.29,0,0.05,0.78
3042,Command & Conquer: Red Alert 3,PC,2008,0.01,0.64,0,0.02,0.67
3193,Sim Theme Park,PS,1999,0.35,0.24,0,0.04,0.63
4125,Theme Park Roller Coaster,PS2,2000,0.23,0.18,0,0.06,0.48
4283,Command & Conquer: Red Alert 3,X360,2008,0.18,0.23,0,0.05,0.46
4532,Command & Conquer 3: Tiberium Wars,X360,2007,0.35,0.05,0,0.03,0.43
5132,Command & Conquer: Red Alert 3 Ultimate Edition,PS3,2009,0.14,0.17,0,0.06,0.37
5705,WarCraft II: The Dark Saga,PS,1997,0.18,0.12,0,0.02,0.31
5783,Lord of the Rings: Battle for Middle-Earth,X360,2006,0.28,0,0,0.02,0.31
6746,Dune 2000,PS,1999,0.14,0.09,0,0.02,0.25
6792,Command & Conquer 3: Kane's Wrath,X360,2008,0.16,0.06,0,0.02,0.24
7820,Aliens versus Predator: Extinction,PS2,2003,0.09,0.07,0,0.02,0.19
9140,Lord of the Rings: Tactics,PSP,2005,0.11,0.02,0,0.02,0.14
10860,Populous: The Beginning,PS,1998,0.05,0.04,0,0.01,0.09
10952,Black & White 2,PC,2005,0.01,0.07,0,0.01,0.09
11219,Theme Hospital,PS,1998,0.03,0.02,0.03,0.01,0.09
11338,Aliens versus Predator: Extinction,XB,2003,0.06,0.02,0,0,0.08
11680,The Lord of the Rings: The Battle for Middle-Earth,PC,2004,0.01,0.06,0,0.01,0.08
12068,Command & Conquer 3: Tiberium Wars,PC,2007,0,0.06,0,0.01,0.07
12528,Syndicate,PC,1992,0,0.05,0,0.01,0.06
12734,The Lord of the Rings: The Battle for Middle-Earth II,X360,2006,0,0.05,0,0.01,0.06
13632,Black & White,PC,2001,0,0.04,0,0.01,0.04
13826,Syndicate Wars,PS,1997,0.02,0.01,0,0,0.04
13861,Warhammer: Dark Omen,PS,1998,0.02,0.01,0,0,0.04
15209,The Lord of the Rings: The Battle for Middle-Earth II,PC,2006,0.01,0.01,0,0,0.02
15235,Command & Conquer 3: Deluxe Edition,PC,2008,0,0.02,0,0,0.02
15275,Command & Conquer: The First Decade,PC,2006,0.01,0.01,0,0,0.02
15604,Command & Conquer 3: Kane's Wrath,PC,2008,0,0.01,0,0,0.02
15821,Command & Conquer 4: Tiberian Twilight,PC,2010,0,0.01,0,0,0.02
15883,Command & Conquer Collection,PC,2003,0.01,0,0,0,0.02
16189,BattleForge,PC,2009,0,0.01,0,0,0.01
16542,Spore Galactic Adventures,PC,2009,0,0.01,0,0,0.01
