Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
5198,Tropico 4,X360,N/A,0.2,0.13,0,0.03,0.36
6343,Tropico 4,PC,2011,0.1,0.13,0,0.04,0.27
7240,Tropico 3,X360,2009,0.15,0.02,0.03,0.02,0.22
10841,Dungeons,PC,2011,0.07,0.02,0,0.01,0.09
12105,Grand Ages: Medieval,PS4,2015,0,0.05,0.01,0.01,0.07
13300,Grand Ages: Medieval,PC,2015,0,0.04,0,0,0.05
13430,Tropico 3,PC,2009,0,0.04,0,0.01,0.05
13787,Patrician IV,PC,2010,0.03,0,0,0,0.04
14065,Sins of a Solar Empire: Trinity,PC,2010,0,0.03,0,0.01,0.04
14934,Tropico Reloaded,PC,2009,0,0.02,0,0,0.02
14996,Tropico 4: Modern Times,PC,2012,0,0.02,0,0,0.02
15698,Dungeons - The Dark Lord,PC,2011,0,0.01,0,0,0.02
15728,Disciples III: Renaissance,PC,2010,0,0.01,0,0,0.02
15965,Imperium Romanum,PC,2008,0,0.01,0,0,0.02
16125,Theatre Of War,PC,2007,0,0.01,0,0,0.01
16367,Tropico 3: Gold Edition,PC,2010,0,0.01,0,0,0.01
