Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
814,Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2001,1.64,0.36,0,0.07,2.07
1145,Yu-Gi-Oh! Duel Monsters,GB,1998,0,0,1.61,0.01,1.61
1858,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,GB,1999,0,0,1.1,0,1.1
2370,Metal Gear Ac!d,PSP,2004,0.32,0.26,0.12,0.17,0.88
2878,Yu-Gi-Oh! The Falsebound Kingdom,GC,2002,0.49,0.13,0.07,0.02,0.71
3606,Yu-Gi-Oh! Reshef of Destruction,GBA,2003,0.4,0.15,0,0.01,0.56
4463,Yu-Gi-Oh! 5D's Tag Force 4,PSP,2009,0.19,0.07,0.12,0.06,0.44
4593,Yu-Gi-Oh! GX: Tag Force 2,PSP,2007,0.03,0.2,0.1,0.11,0.42
5324,Yu-Gi-Oh! 5D's Tag Force 5,PSP,2010,0.13,0.05,0.14,0.03,0.35
5734,Yu-Gi-Oh! The Dawn of Destiny,XB,2004,0.23,0.07,0,0.01,0.31
5772,Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,DS,2010,0.18,0.02,0.09,0.02,0.31
6158,Yu-Gi-Oh! World Championship 2008,DS,2007,0.13,0.02,0.12,0.01,0.28
7040,Yu-Gi-Oh! GX: Tag Force 3,PSP,2008,0,0.03,0.18,0.01,0.23
7247,Kartia: The Word of Fate,PS,1998,0.05,0.03,0.12,0.01,0.22
7375,Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus,DS,2011,0.1,0.03,0.07,0.01,0.21
7524,Suikoden Tactics,PS2,2005,0.06,0.05,0.07,0.02,0.2
8059,Metal Gear Ac!d 2,PSP,2005,0.11,0.01,0.05,0.01,0.18
8549,Yu-Gi-Oh! 5D's Tag Force 6,PSP,2011,0,0,0.16,0,0.16
8638,Yu-Gi-Oh! 5D's: Duel Transer,Wii,2010,0.11,0.02,0.02,0.01,0.16
9282,Yu-Gi-Oh! GX: Tag Force,PSP,2006,0.09,0.03,0,0.02,0.14
10066,Ring of Red,PS2,2000,0.06,0.04,0,0.01,0.11
10513,Vandal Hearts II,PS,1999,0.06,0.04,0,0.01,0.1
10924,Yu-Gi-Oh! GX: The Beginning of Destiny (US sales),PS2,2007,0.05,0.04,0,0.01,0.09
13179,Yu-Gi-Oh! World Championship 2007,DS,2007,0,0.01,0.04,0,0.05
14154,Trap Gunner: Countdown to Oblivion,PS,1998,0.02,0.01,0,0,0.03
14723,Negima!? Dream Tactic Yumemiru Otome Princess,PS2,2007,0,0,0.03,0,0.03
15554,Yu-Gi-Oh! GX: The Beginning of Destiny (JP sales),PS2,2007,0,0,0.02,0,0.02
15905,Tennis no Oji-Sama: Card Hunter,PS2,2007,0,0,0.02,0,0.02
