Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4347,Thrillville: Off the Rails,Wii,2007,0.39,0.02,0,0.03,0.45
4642,Thrillville: Off the Rails,PS2,2007,0.2,0.16,0,0.05,0.42
8463,Thrillville: Off the Rails,X360,2007,0.13,0.02,0,0.01,0.16
10438,Thrillville: Off the Rails,PSP,2007,0.09,0,0,0.01,0.1
10935,Star Wars: Empire at War - Gold Pack,PC,2007,0.01,0.06,0,0.01,0.09
11160,Star Wars: Empire at War,PC,2006,0.01,0.06,0,0.02,0.09
11830,Wrath Unleashed,PS2,2004,0.04,0.03,0,0.01,0.07
13415,Wrath Unleashed,XB,2004,0.03,0.01,0,0,0.05
13442,Thrillville: Off the Rails,DS,2007,0.03,0.01,0,0,0.05
14922,Star Wars: Empire at War - Forces of Corruption,PC,2006,0,0.02,0,0,0.02
