Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
579,Halo Wars,X360,2009,1.53,0.82,0.04,0.24,2.63
4928,Age of Empires III,PC,2005,0,0.32,0,0.07,0.39
6468,Zoo Tycoon 2: Ultimate Collection,PC,2008,0.04,0.18,0,0.04,0.26
7550,State of Decay,XOne,2015,0.14,0.05,0,0.02,0.2
8296,Age of Empires III: Complete Collection,PC,2009,0.01,0.12,0,0.03,0.17
10693,Age of Empires II: The Age of Kings,PC,1999,0.01,0.08,0,0.02,0.1
11149,Age of Mythology,PC,2002,0.02,0.06,0,0.01,0.09
12179,Age of Empires III: The Asian Dynasties,PC,2007,0,0.05,0,0.01,0.07
12362,Age of Empires Online,PC,2011,0.01,0.04,0,0.01,0.06
12543,Zoo Tycoon: Complete Collection,PC,2003,0.03,0.02,0,0.01,0.06
12552,Zoo Tycoon 2,PC,2004,0,0.05,0,0.01,0.06
13694,Rise of Nations,PC,2003,0.01,0.02,0,0.01,0.04
14003,Age of Mythology: The Titans,PC,2003,0.01,0.02,0,0,0.04
14161,Rise of Nations: Rise of Legends,PC,2006,0,0.03,0,0.01,0.03
14164,Zoo Tycoon,PC,2001,0,0.03,0,0.01,0.03
14828,Age of Empires III: Gold Edition,PC,2007,0,0.02,0,0.01,0.03
15417,Worms,X360,2007,0,0.02,0,0,0.02
16043,Impossible Creatures,PC,2002,0,0.01,0,0,0.01
