Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2833,SD Gundam G Generation,PS,1998,0,0,0.67,0.05,0.72
3518,Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,PS,2000,0,0,0.54,0.04,0.57
3549,SD Gundam G Generation Neo,PS2,2002,0,0,0.57,0,0.57
3668,SD Gundam G Generation Zero,PS,1999,0,0,0.51,0.04,0.55
4008,Super Robot Taisen Z,PS2,2008,0,0,0.5,0,0.5
4870,SD Gundam G Generation Seed,PS2,2004,0,0,0.4,0,0.4
4994,SD Gundam G Generation Spirits,PS2,2007,0,0,0.38,0,0.38
5006,Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,2002,0,0,0.38,0,0.38
5020,SD Gundam G Generation-F,PS,2000,0,0,0.36,0.02,0.38
5234,Dai-2-Ji Super Robot Taisen Z Saisei-hen,PSP,2012,0,0,0.36,0,0.36
5354,SD Gundam G Generation World,PSP,2011,0,0,0.34,0,0.34
5543,Kidou Senshi Gundam F91: Formula Senki 0122,SNES,1991,0,0,0.33,0,0.33
5728,Dragon Ball Heroes: Ultimate Mission 2,3DS,2014,0,0,0.31,0,0.31
5745,SD Gundam G Generation Wars,PS2,2009,0,0,0.31,0,0.31
5790,SD Gundam G Generation: Overworld,PSP,2012,0,0,0.31,0,0.31
5837,Dai-2-Ji Super Robot Taisen OG,PS3,2012,0,0,0.3,0,0.3
6000,SD Gundam G Century,PS,1997,0,0,0.27,0.02,0.29
6304,SD Gundam G Generation Portable,PSP,2006,0,0,0.27,0,0.27
6541,SD Gundam G Generation: Cross Drive,DS,2007,0,0,0.26,0,0.26
6613,Kidou Senshi Gundam: Giren no Yabou,SAT,1998,0,0,0.25,0,0.25
7452,Super Robot Taisen K,DS,2009,0,0,0.21,0,0.21
7514,SD Gundam GNext,SNES,1995,0,0,0.2,0,0.2
7964,SD Gundam GX,SNES,1994,0,0,0.19,0,0.19
8168,Kidou Senshi Gundam: Senjou no Kizuna Portable,PSP,2009,0,0,0.18,0,0.18
8170,Super Robot Taisen A Portable,PSP,2008,0,0,0.18,0,0.18
8247,Super Robot Taisen L,DS,2010,0,0,0.17,0,0.17
8283,Space Battleship Yamato: Harukanaru Hoshi Iscandar,PS,1999,0,0,0.16,0.01,0.17
8308,Super Robot Taisen Compact 2 Dai-1-Bu,WS,2000,0,0,0.17,0,0.17
8670,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui,PSP,2008,0,0,0.16,0,0.16
8942,Mobile Suit Gundam: Perfect One Year War,PS,1997,0,0,0.14,0.01,0.15
8986,Making History: The Great War,Wii,2010,0,0,0.15,0,0.15
9144,Kidou Senshi Gundam: Shin Gihren no Yabou,PSP,2011,0,0,0.14,0,0.14
9300,Kamen Rider Battle: Ganbaride,DS,2010,0,0,0.14,0,0.14
9781,Making History: The Great War,PSP,2010,0,0,0.12,0,0.12
9807,McDROID,Wii,2011,0,0,0.12,0,0.12
9847,Super Robot Wars OG Saga: Masou Kishin - The Lord of Elemental,DS,2010,0,0,0.12,0,0.12
9922,SD Gundam G Generation-F.I.F,PS,2001,0,0,0.11,0.01,0.12
10394,Digimon Digital Card Battle,PS,1999,0.06,0.04,0,0.01,0.11
10530,Weiss Schwarz Portable,PSP,2011,0,0,0.1,0,0.1
10550,Creeper World 3: Arc Eternal,Wii,2009,0,0,0.1,0,0.1
11852,SD Gundam: Gashapon Wars,GC,2005,0,0,0.07,0,0.07
11886,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PS2,2009,0,0,0.07,0,0.07
11888,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PSP,2009,0,0,0.07,0,0.07
12000,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PS3,2013,0,0,0.07,0,0.07
12045,Real Time Conflict: Shogun Empires,DS,2005,0.06,0,0,0,0.07
12220,Gundam Try Age SP,3DS,2014,0,0,0.07,0,0.07
12476,Super Robot Wars OG Saga Masou Kishin F: Coffin of the End,PS3,2014,0,0,0.06,0,0.06
12630,Emblem of Gundam,DS,2008,0,0,0.06,0,0.06
12741,SD Gundam G Generation Wars,Wii,2009,0,0,0.06,0,0.06
12785,Yuugen Gaisha Brave Company,3DS,2011,0,0,0.06,0,0.06
12876,McDROID,PSP,2011,0,0,0.05,0,0.05
13107,Super Robot Taisen Neo,Wii,2009,0,0,0.05,0,0.05
13207,SD Gundam: Scad Hammers,Wii,2006,0,0,0.05,0,0.05
13343,SD Gundam G Generation World,Wii,2011,0,0,0.05,0,0.05
13740,PD Ultraman Battle Collection 64,N64,1999,0,0,0.04,0,0.04
14174,SD Gundam G Generation: Gather Beat 2,WS,2001,0,0,0.03,0,0.03
14289,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PSV,2013,0,0,0.03,0,0.03
14542,SD Gundam: Gashapon Wars,Wii,2010,0,0,0.03,0,0.03
15064,Mage Knight: Destiny's Soldier,DS,2006,0.02,0,0,0,0.02
15378,Chuugen no Hasha: Sangoku Shouseiden,PSP,2006,0,0,0.02,0,0.02
15712,Ultraman Star Chronicles,PSP,2013,0,0,0.02,0,0.02
