Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
166,Pokemon Stadium,N64,1999,3.18,1.24,0.94,0.09,5.45
336,Pokémon Trading Card Game,GB,1998,1.49,0.73,1.38,0.1,3.7
548,Pokémon Stadium 2,N64,2000,1.02,0.36,1.13,0.23,2.73
1127,Pikmin,GC,2001,0.78,0.25,0.56,0.04,1.63
1423,Pocket Monsters Stadium,N64,1998,0,0,1.37,0,1.37
1671,Pikmin 2,GC,2004,0.48,0.13,0.56,0.03,1.2
1845,Pikmin 3,WiiU,2013,0.45,0.31,0.29,0.06,1.11
2135,Fire Emblem,GBA,2003,0.49,0.18,0.29,0.01,0.97
2337,Fire Emblem: The Sacred Stones,GBA,2004,0.42,0.16,0.3,0.02,0.89
2338,Pokemon Card GB2: Here Comes Team GR!,GB,2001,0,0,0.89,0,0.89
2925,Advance Wars,GBA,2001,0.5,0.19,0,0.01,0.7
3083,New Play Control! Pikmin,Wii,2008,0.29,0.14,0.19,0.04,0.66
3115,Advance Wars 2: Black Hole Rising,GBA,2003,0.47,0.17,0,0.01,0.65
3219,Advance Wars: Days of Ruin,DS,N/A,0.44,0.13,0,0.06,0.63
3335,New Play Control! Pikmin 2,Wii,2009,0.11,0.14,0.33,0.02,0.6
3487,Fire Emblem: Seisen no Keifu,SNES,1996,0,0,0.58,0,0.58
3904,Fire Emblem: Radiant Dawn,Wii,2007,0.28,0.03,0.17,0.03,0.51
4806,Advance Wars: Dual Strike,DS,2005,0.3,0.03,0.04,0.03,0.4
4813,Battalion Wars,GC,2005,0.25,0.07,0.07,0.01,0.4
5276,Battalion Wars 2,Wii,2007,0.22,0.03,0.08,0.02,0.35
6348,Command & Conquer,N64,1999,0.22,0.05,0,0,0.27
6381,Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu,DS,2010,0,0,0.27,0,0.27
6584,Fire Emblem: Thracia 776,SNES,1999,0,0,0.26,0,0.26
7292,Code Name: S.T.E.A.M.,3DS,2015,0.14,0.05,0.01,0.02,0.22
7507,Trade & Battle: Card Hero,GB,2000,0,0,0.2,0,0.2
8039,GameBoy Wars,GB,1991,0,0,0.18,0,0.18
8590,Starcraft 64,N64,2000,0.13,0.03,0,0,0.16
10145,Kousoku Card Battle: Card Hero,DS,2007,0,0,0.11,0,0.11
10631,L'Aigle de Guerre,GBA,2001,0,0,0.1,0,0.1
11511,Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,GBA,2004,0,0,0.08,0,0.08
12956,Culdcept Revolt,3DS,2016,0,0,0.05,0,0.05
14263,Suujin Taisen,DS,2007,0,0,0.03,0,0.03
