Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
11993,Hearts of Iron III,PC,2009,0.01,0.04,0,0.01,0.07
14112,Supreme Ruler: Cold War,PC,2011,0,0.03,0,0.01,0.03
14267,Combat Mission: Shock Force,PC,2007,0,0.03,0,0.01,0.03
14386,Hearts of Iron IV,PC,2016,0,0.03,0,0,0.03
14543,Commander: Conquest of the Americas,PC,2010,0,0.02,0,0.01,0.03
14638,Stellaris,PC,2016,0,0.03,0,0,0.03
14724,King Arthur II,PC,2011,0,0.02,0,0,0.03
14997,Europa Universalis III Complete,PC,2008,0,0.02,0,0,0.02
15744,Elven Legacy Collection,PC,2010,0,0.01,0,0,0.02
15837,Majesty 2 Collection,PC,2011,0,0.01,0,0,0.02
15872,Elven Legacy,PC,2009,0.01,0,0,0,0.02
15968,Sengoku,PC,2011,0,0.01,0,0,0.02
16073,East India Company,PC,2009,0.01,0,0,0,0.01
