Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1884,Empire: Total War,PC,2009,0.01,0.97,0,0.11,1.09
2730,Total War: Rome II,PC,2013,0.12,0.53,0,0.11,0.76
3075,Napoleon: Total War,PC,2010,0.02,0.52,0,0.12,0.66
3400,Total War: Shogun 2,PC,2011,0.19,0.31,0,0.09,0.59
5134,Medieval II: Total War Gold Edition,PC,2008,0,0.33,0,0.03,0.37
5906,Dragon Force,SAT,1996,0,0,0.3,0,0.3
6989,Total War: Attila,PC,2015,0.09,0.13,0,0.02,0.23
7117,Dinosaur King,DS,2007,0.2,0,0,0.02,0.23
7408,Valkyria Chronicles III: Unrecorded Chronicles,PSP,N/A,0,0,0.21,0,0.21
7643,Total War: Shogun 2 - Fall of the Samurai,PC,2012,0.07,0.1,0,0.03,0.2
7912,Shining Force II,GEN,1993,0,0,0.19,0,0.19
8215,Stormrise,PS3,2009,0.13,0.02,0,0.02,0.17
8522,San Goku Shi Taisen DS,DS,2007,0,0,0.16,0,0.16
8744,Stormrise,X360,2009,0.11,0.03,0,0.01,0.15
8791,Kidou Senkan Nadesico,SAT,1997,0,0,0.15,0,0.15
9016,Shining Force CD,SCD,1994,0,0,0.14,0,0.14
9414,Shining Force III,SAT,1997,0,0,0.13,0,0.13
9683,Worms 3D,PS2,2003,0.06,0.05,0,0.02,0.12
10524,Culdcept DS,DS,2008,0,0,0.1,0,0.1
10593,Total War: WARHAMMER,PC,2016,0,0.1,0,0.01,0.1
10848,Medieval II: Total War,PC,2006,0,0.08,0,0.02,0.09
11621,GOTHA: Ismailia Seneki,SAT,1995,0,0,0.08,0,0.08
11673,Dragon Force II: Kamisarishi Daichi ni,SAT,1998,0,0,0.08,0,0.08
12058,San Goku Shi Taisen Ten,DS,2008,0,0,0.07,0,0.07
12201,Worms 3D,GC,2003,0.05,0.01,0,0,0.07
12227,Worms Forts: Under Siege,XB,2004,0.05,0.01,0,0,0.07
12453,Shining Force Feather,DS,2009,0,0,0.06,0,0.06
12606,Worms 3D,XB,2003,0.04,0.01,0,0,0.06
12814,Amazing Island,GC,2004,0.04,0.01,0,0,0.06
12826,Shining Force III: Scenario 2,SAT,1998,0,0,0.05,0,0.05
14268,Rome: Total War - Gold Edition,PC,2006,0,0.03,0,0.01,0.03
14520,Tenka-bito,PS2,2006,0,0,0.03,0,0.03
14556,Culdcept,PS2,2002,0.01,0.01,0,0,0.03
15249,Sakura Wars 1 & 2,PSP,2006,0,0,0.02,0,0.02
15294,Stormrise,PC,2009,0,0.02,0,0,0.02
