Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2607,Invizimals,PSP,2009,0.17,0.51,0,0.11,0.79
4812,Pet in TV,PS,1997,0,0,0.38,0.03,0.4
5860,Invizimals: Shadow Zone,PSP,2010,0.05,0.16,0,0.08,0.3
7909,Princess Maker: Yumemiru Yosei,PS,1997,0,0,0.18,0.01,0.19
9367,Sentou Kokka Air Land Battle,PS,1995,0,0,0.13,0.01,0.13
9855,PixelJunk Monsters Deluxe,PSP,2010,0.11,0,0,0.01,0.12
9980,Sengoku Cyber: Fujimaru Jigokuhen,PS,1995,0,0,0.11,0.01,0.12
10380,Carnage Heart,PS,1995,0.01,0.01,0.09,0.01,0.11
10401,Yuusha no Kuse ni Namaikida Or 3D,PSP,2010,0,0,0.11,0,0.11
14565,Worms,PS3,2009,0,0.02,0,0.01,0.03
14632,Hyakumanton no Bara Bara,PSP,2010,0,0,0.03,0,0.03
16335,The Eye of Judgment: Legends,PSP,2010,0,0,0.01,0,0.01
