Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2075,Zoo Tycoon DS,DS,2005,0.86,0.04,0.01,0.08,1
2646,Worms: Open Warfare,PSP,2006,0.11,0.43,0,0.24,0.78
2815,Full Spectrum Warrior,XB,2004,0.54,0.16,0,0.03,0.73
4182,"Warhammer 40,000: Dawn of War II",PC,2009,0,0.45,0,0.02,0.47
4243,Kessen II,PS2,2001,0.13,0.1,0.2,0.03,0.46
4393,Worms: Open Warfare 2,PSP,2007,0.04,0.26,0,0.14,0.45
5229,Worms: Open Warfare 2,DS,2007,0.07,0.25,0,0.04,0.36
5244,Company of Heroes 2,PC,2013,0.06,0.25,0,0.05,0.36
5524,"Warhammer 40,000: Squad Command",PSP,2007,0.11,0.14,0,0.08,0.33
5866,Zoo Tycoon 2 DS,DS,2008,0.24,0.03,0,0.02,0.3
5926,Full Spectrum Warrior,PS2,2005,0.15,0.11,0,0.04,0.3
7014,Worms: Battle Islands,Wii,2010,0.11,0.1,0,0.02,0.23
7030,Age of Empires: The Age of Kings,DS,2006,0.19,0.02,0,0.02,0.23
7231,Age of Empires: Mythologies,DS,2008,0.17,0.03,0,0.02,0.22
8042,Company of Heroes: Anthology,PC,2009,0,0.15,0,0.04,0.18
10058,Desktop Tower Defense,DS,2009,0.11,0,0,0.01,0.11
10694,"Warhammer 40,000: Dawn of War II - Chaos Rising",PC,2010,0.08,0.01,0,0.01,0.1
10962,Lock's Quest,DS,2008,0.08,0,0,0.01,0.09
11362,Worms: Open Warfare,DS,2006,0.05,0.03,0,0.01,0.08
11438,Worms: A Space Oddity,Wii,2008,0.06,0.02,0,0.01,0.08
11487,"Warhammer 40,000: Dawn of War II - Retribution",PC,2011,0,0.06,0,0.02,0.08
11889,Elements of Destruction,DS,2007,0.07,0,0,0.01,0.07
12232,Full Spectrum Warrior: Ten Hammers,PS2,2006,0.03,0.02,0,0.01,0.07
12238,"Warhammer 40,000: Squad Command",DS,2007,0.05,0.01,0,0.01,0.07
13141,"Warhammer 40,000: Dawn of War",PC,2004,0.01,0.03,0,0.01,0.05
13303,Company of Heroes,PC,2006,0,0.04,0,0.01,0.05
13340,Supreme Commander,PC,2007,0,0.04,0,0.01,0.05
13361,Full Spectrum Warrior: Ten Hammers,XB,2006,0.03,0.01,0,0,0.05
13635,Company of Heroes: Tales of Valor,PC,2009,0,0.03,0,0.01,0.04
13705,Company of Heroes: Opposing Fronts,PC,2007,0.01,0.03,0,0.01,0.04
13854,Supreme Commander: Forged Alliance,PC,2007,0.01,0.02,0,0.01,0.04
15488,"Warhammer 40,000: Dawn of War: Soulstorm",PC,2008,0,0.02,0,0,0.02
