Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3238,Nobunaga no Yabou: Haouden,SNES,1993,0.3,0,0.32,0,0.62
3783,Romance of the Three Kingdoms IV: Wall of Fire,SNES,1994,0,0,0.53,0,0.53
5685,Romance of the Three Kingdoms VII,PS2,2000,0.08,0.06,0.16,0.02,0.32
5881,Romance of the Three Kingdoms VIII,PS2,2002,0.05,0.04,0.19,0.01,0.3
6062,Dynasty Tactics,PS2,2002,0.06,0.05,0.16,0.02,0.29
6090,Romance of the Three Kingdoms III: Dragon of Destiny,SNES,1992,0,0,0.29,0,0.29
6625,Romance of the Three Kingdoms II,SNES,1991,0,0,0.25,0,0.25
7639,Nobunaga no Yabou: Reppuuden,PS,1999,0,0,0.19,0.01,0.2
7934,Nobunaga no Yabou: Souzou,PS3,2013,0,0,0.19,0,0.19
8423,Nobunaga no Yabou: Tenshoki,SNES,1996,0,0,0.17,0,0.17
9277,Houshinengi,PS,1998,0,0,0.13,0.01,0.14
9338,Nobunaga no Yabou: Tendou,PS3,2010,0,0,0.13,0,0.13
9462,Romance of the Three Kingdoms IV: Wall of Fire,PS,1995,0.05,0.03,0.04,0.01,0.13
9589,Nobunaga no Yabou: Ranseiki,PS2,2002,0,0,0.13,0,0.13
9753,San Goku Shi V,SAT,1996,0,0,0.12,0,0.12
10006,Nobunaga no Yabou: Tenshoki,SAT,1995,0,0,0.11,0,0.11
10281,Dynasty Tactics 2,PS2,2003,0.05,0.04,0,0.01,0.11
10985,Romance of the Three Kingdoms X,PS2,2005,0.04,0.03,0,0.01,0.09
11131,Romance of the Three Kingdoms XII,PS3,2012,0,0,0.09,0,0.09
11137,Nobunaga's Ambition: Iron Triangle,PS2,2006,0.04,0.03,0,0.01,0.09
11430,Nobunaga's Ambition: Rise to Power,PS2,2004,0,0,0.08,0,0.08
11599,FabStyle,DS,2011,0,0,0.08,0,0.08
11701,P.T.O. IV: Pacific Theater of Operations,PS2,2002,0.04,0.03,0,0.01,0.08
11822,Kessen III,PS2,2004,0.04,0.03,0,0.01,0.07
11856,Romance of the Three Kingdoms XI,PS2,2007,0,0,0.07,0,0.07
11896,Robocalypse,DS,2008,0.07,0,0,0,0.07
11948,Romance of the Three Kingdoms IX,PS2,2003,0.03,0.03,0,0.01,0.07
12183,Nobunaga no Yabou: Tendou with Power-Up Kit,PS3,2011,0,0,0.07,0,0.07
12807,Nobunaga no Yabou: Souzou,PS4,2014,0,0,0.06,0,0.06
12920,Nobunaga's Ambition: Sphere of Influence,PSV,2014,0,0,0.05,0,0.05
13242,GrimGrimoire,PS2,2007,0.01,0.01,0.03,0,0.05
13274,Saiyuki: Journey West,PS,1999,0.03,0.02,0,0,0.05
13317,Romance of the Three Kingdoms VI: Awakening of the Dragon,PS,1998,0.03,0.02,0,0,0.05
13499,Angelique Duet,PS,1998,0,0,0.04,0,0.04
13781,Nobunaga's Ambition: Sphere of Influence,PS4,2014,0.03,0,0,0.01,0.04
13929,Taikou Risshiden V,PSP,2009,0,0,0.04,0,0.04
14016,San Goku Shi DS 3,DS,2010,0,0,0.04,0,0.04
14055,Nobunaga's Ambition II,3DS,2015,0,0,0.04,0,0.04
14101,FabStyle,3DS,2011,0,0,0.03,0,0.03
14193,Romance of the Three Kingdoms (3DS),3DS,2013,0,0,0.03,0,0.03
14290,Nobunaga no Yabou: Kakushin with Power-Up Kit,PS2,2008,0,0,0.03,0,0.03
14596,Saihai no Yukue,DS,2008,0,0,0.03,0,0.03
14628,Romance of the Three Kingdoms II,3DS,2015,0,0,0.03,0,0.03
14680,Nobunaga no Yabou DS 2,DS,2008,0,0,0.03,0,0.03
15449,Nobunaga's Ambition: Tenshouki with Power-Up Kit HD Version,PSV,2015,0,0,0.02,0,0.02
15663,Nobunaga no Yabou: Soutensoku with Power-Up Kit,PSP,2011,0,0,0.02,0,0.02
15869,San Goku Shi DS 2,DS,2007,0,0,0.02,0,0.02
15890,Romance of the Three Kingdoms XII,WiiU,2012,0,0,0.02,0,0.02
16021,Nobunaga no Yabou DS,DS,2006,0,0,0.01,0,0.01
16481,Ishin no Arashi: Shippuu Ryuumeden,DS,2010,0,0,0.01,0,0.01
