Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1322,Anno 2070,PC,2011,0,1.13,0,0.32,1.45
2280,Tom Clancy's EndWar,X360,2008,0.58,0.24,0.01,0.09,0.91
2485,Battle of Giants: Dinosaurs,DS,2008,0.38,0.37,0,0.09,0.83
3099,Tom Clancy's EndWar,PS3,2008,0.32,0.22,0.01,0.1,0.65
3222,Battle of Giants: Dragons,DS,2009,0.31,0.25,0,0.06,0.63
3921,R.U.S.E.,PS3,2010,0.18,0.22,0.02,0.09,0.51
4926,Combat of Giants: Dinosaurs 3D,3DS,2011,0.25,0.06,0.05,0.03,0.39
5399,Tom Clancy's Ghost Recon: Shadow Wars,3DS,2011,0.22,0.09,0,0.03,0.34
5621,The Settlers 7: Paths to a Kingdom,PC,2010,0,0.26,0,0.06,0.32
6254,R.U.S.E.,PC,2010,0.04,0.19,0,0.05,0.28
6294,R.U.S.E.,X360,2010,0.12,0.12,0,0.03,0.27
6329,Battle of Giants: Mutant Insects,DS,2010,0.09,0.15,0,0.03,0.27
6745,Anno 2205,PC,2015,0.02,0.22,0,0.01,0.25
7356,Conflict Zone,PS2,2002,0.1,0.08,0,0.03,0.21
7498,Battle of Giants: Dinosaurs Strike,Wii,2010,0.15,0.04,0,0.02,0.2
9057,Age of Empires: Collector's Edition,PC,2000,0.02,0.1,0,0.02,0.14
9856,Tom Clancy's EndWar,PSP,2008,0.1,0.01,0,0.01,0.12
9897,Battles of Prince of Persia,DS,2005,0.1,0.01,0,0.01,0.12
10946,Tom Clancy's EndWar,DS,2008,0.08,0.01,0,0.01,0.09
11214,Might & Magic Heroes VII,PC,2015,0,0.08,0,0,0.09
12324,Pawly Pets: My Vet Practice,DS,2007,0,0.06,0,0.01,0.06
12379,Star Trek: Tactical Assault,DS,2006,0.05,0.01,0,0,0.06
12577,Imagine: Resort Owner,DS,2010,0.05,0,0,0,0.06
12829,Worms World Party,GBA,2002,0.04,0.01,0,0,0.05
13660,Heroes of Might and Magic V,PC,2006,0,0.03,0,0.01,0.04
14030,World in Conflict: Complete Edition,PC,2009,0,0.03,0,0.01,0.04
14523,Star Trek: Tactical Assault,PSP,2006,0.02,0.01,0,0,0.03
14943,The Settlers: Rise of an Empire,PC,2007,0.01,0.01,0,0,0.02
15090,Tom Clancy's EndWar,PC,2009,0,0.02,0,0,0.02
