Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
8559,Scarface: Money. Power. Respect.,PSP,2006,0.15,0,0,0.01,0.16
9518,Warcraft III: Reign of Chaos,PC,2002,0.03,0.08,0,0.02,0.13
13169,Empire Earth,PC,2001,0,0.04,0,0.01,0.05
13774,Empire Earth III,PC,2007,0,0.03,0,0.01,0.04
13871,Caesar IV,PC,2006,0,0.03,0,0.01,0.04
14020,World in Conflict,PC,2007,0,0.03,0,0.01,0.04
14038,Caesar III,PC,1998,0,0.03,0,0.01,0.04
14384,Homeworld 2,PC,2003,0,0.03,0,0.01,0.03
14411,Empire Earth II,PC,2005,0,0.03,0,0,0.03
14936,Pharaoh,PC,1998,0,0.02,0,0,0.02
15137,Homeworld,PC,1998,0,0.02,0,0,0.02
15915,Evil Genius,PC,2004,0,0.01,0,0,0.02
