Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
90,Pac-Man,2600,Puzzle,Atari,7.28,0.45,0,0.08,7.81
1117,Dig Dug,2600,Puzzle,Atari,1.52,0.1,0,0.02,1.64
1165,Mario Bros.,2600,Platform,Atari,1.48,0.09,0,0.02,1.59
1707,Pole Position,2600,Racing,Atari,1.1,0.07,0,0.01,1.18
1819,Moon Patrol,2600,Shooter,Atari,1.05,0.06,0,0.01,1.12
1853,Jungle Hunt,2600,Platform,Atari,1.03,0.06,0,0.01,1.1
1907,Joust,2600,Platform,Atari,1.01,0.06,0,0.01,1.08
2408,Enduro,2600,Misc,Quelle,0.81,0.05,0,0.01,0.87
2631,Yars' Revenge,2600,Shooter,Atari,0.73,0.04,0,0.01,0.78
2662,Galaxian,2600,Shooter,Atari,0.72,0.05,0,0.01,0.77
2845,Kangaroo,2600,Platform,Atari,0.67,0.04,0,0.01,0.72
3081,Keystone Kapers,2600,Action,Activision,0.62,0.04,0,0.01,0.66
3217,X-Man,2600,Action,Universal Gamex,0.58,0.04,0,0.01,0.63
3250,Battlezone,2600,Shooter,Atari,0.58,0.03,0,0.01,0.62
3268,Halloween,2600,Action,Wizard Video Games,0.58,0.03,0,0.01,0.62
3449,Q*bert,2600,Puzzle,Parker Bros.,0.55,0.03,0,0.01,0.58
3645,The Activision Decathlon,2600,Sports,Activision,0.52,0.03,0,0.01,0.55
3718,Action Force,2600,Action,CPG Products,0.5,0.03,0,0.01,0.54
3750,Popeye,2600,Platform,Parker Bros.,0.5,0.03,0,0.01,0.54
3968,Chopper Command,2600,Shooter,Activision,0.47,0.03,0,0.01,0.5
4015,RealSports Tennis,2600,Sports,Atari,0.46,0.03,0,0.01,0.5
4018,Gauntlet,2600,Action,Answer Software,0.46,0.03,0,0.01,0.5
4803,Congo Bongo,2600,Action,Sega,0.37,0.02,0,0,0.4
4896,Bump 'n' Jump,2600,Racing,Mattel Interactive,0.37,0.02,0,0,0.39
5066,Gravitar,2600,Action,Atari,0.35,0.02,0,0,0.38
5383,Alien's Return,2600,Action,ITT Family Games,0.32,0.02,0,0,0.34
5397,Bank Heist,2600,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34
5660,Frankenstein's Monster,2600,Action,Data Age,0.3,0.02,0,0,0.32
5775,Mountain King,2600,Action,CBS Electronics,0.29,0.02,0,0,0.31
6147,Polaris,2600,Action,Tigervision,0.26,0.02,0,0,0.28
6267,Mr. Do!,2600,Action,Coleco,0.26,0.02,0,0,0.27
6730,Porky's,2600,Action,20th Century Fox Video Games,0.23,0.01,0,0,0.25
7151,Assault,2600,Action,Bomb,0.21,0.01,0,0,0.22
8460,Death Trap,2600,Action,Avalon Interactive,0.15,0.01,0,0,0.17
8760,Pressure Cooker,2600,Action,Activision,0.14,0.01,0,0,0.15
9108,Krull,2600,Action,Atari,0.13,0.01,0,0,0.14
