Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
34,Call of Duty: Black Ops 3,PS4,Shooter,Activision,5.77,5.81,0.35,2.31,14.24
78,FIFA 16,PS4,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49
93,Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67
102,Call of Duty: Black Ops 3,XOne,Shooter,Activision,4.52,2.09,0.01,0.67,7.3
110,Fallout 4,PS4,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
236,Splatoon,WiiU,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57
244,Uncharted: The Nathan Drake Collection,PS4,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47
261,Halo 5: Guardians,XOne,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26
288,Fallout 4,XOne,Role-Playing,Bethesda Softworks,2.45,1.26,0.01,0.37,4.09
315,NBA 2K16,PS4,Sports,Take-Two Interactive,2.48,0.65,0.03,0.69,3.85
323,Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive Entertainment,1.49,1.58,0.1,0.61,3.79
332,The Witcher 3: Wild Hunt,PS4,Role-Playing,Namco Bandai Games,0.96,2,0.21,0.56,3.73
379,Star Wars Battlefront (2015),XOne,Shooter,Electronic Arts,1.94,1.22,0.02,0.31,3.49
396,Metal Gear Solid V: The Phantom Pain,PS4,Action,Konami Digital Entertainment,1.08,1.35,0.48,0.47,3.38
410,Assassin's Creed Syndicate,PS4,Action,Ubisoft,0.8,1.92,0.06,0.5,3.28
415,Monster Hunter X,3DS,Action,Capcom,0.25,0.19,2.78,0.04,3.26
417,FIFA 16,XOne,Sports,Electronic Arts,0.88,2.11,0,0.23,3.23
419,Madden NFL 16,PS4,Sports,Electronic Arts,2.33,0.3,0,0.59,3.22
430,Super Mario Maker,WiiU,Platform,Nintendo,1.18,0.87,0.93,0.2,3.18
468,Gears of War: Ultimate Edition,XOne,Shooter,Microsoft Game Studios,2.38,0.32,0,0.31,3
477,Animal Crossing: Happy Home Designer,3DS,Simulation,Nintendo,0.47,1,1.39,0.12,2.98
514,FIFA 16,PS3,Sports,Electronic Arts,0.4,1.98,0.05,0.42,2.85
554,Mortal Kombat X,PS4,Fighting,Warner Bros. Interactive Entertainment,1.47,0.76,0,0.47,2.7
646,Madden NFL 16,XOne,Sports,Electronic Arts,2.07,0.08,0,0.26,2.4
651,Need for Speed (2015),PS4,Racing,Electronic Arts,0.49,1.49,0.05,0.36,2.39
662,Bloodborne,PS4,Action,Sony Computer Entertainment,1,0.76,0.26,0.36,2.38
682,The Legend of Zelda: Majora's Mask 3D,3DS,Action,Nintendo,1.14,0.54,0.47,0.17,2.32
683,NBA 2K16,XOne,Sports,Take-Two Interactive,1.93,0.14,0,0.24,2.32
701,Yokai Watch Busters,3DS,Action,Level 5,0,0,2.28,0,2.28
760,Tom Clancy's Rainbow Six: Siege,PS4,Shooter,Ubisoft,0.54,1.16,0.13,0.32,2.15
799,Battlefield: Hardline,PS4,Shooter,Electronic Arts,0.7,0.93,0.14,0.32,2.09
907,Destiny: The Taken King,PS4,Shooter,Activision,0.77,0.78,0.04,0.31,1.91
949,Just Cause 3,PS4,Action,Square Enix,0.46,1.02,0.07,0.28,1.83
969,Call of Duty: Black Ops 3,PS3,Shooter,Activision,0.49,0.96,0.07,0.27,1.79
1001,Call of Duty: Black Ops 3,X360,Shooter,Activision,1.11,0.48,0,0.16,1.76
1020,Forza Motorsport 6,XOne,Racing,Microsoft Game Studios,0.69,0.89,0.03,0.14,1.74
1035,The Order: 1886,PS4,Shooter,Sony Computer Entertainment,0.61,0.78,0.06,0.27,1.72
1036,The Elder Scrolls Online,PS4,Role-Playing,Bethesda Softworks,0.66,0.78,0,0.28,1.72
1065,FIFA 16,X360,Sports,Electronic Arts,0.55,1.01,0,0.13,1.69
1099,Dying Light,PS4,Action,Warner Bros. Interactive Entertainment,0.63,0.66,0.11,0.26,1.66
1124,Until Dawn,PS4,Adventure,Sony Computer Entertainment Europe,0.44,0.89,0.05,0.25,1.64
1209,Mario Party 10,WiiU,Misc,Nintendo,0.69,0.5,0.24,0.11,1.55
1212,Fire Emblem Fates,3DS,Role-Playing,Nintendo,0.71,0.22,0.52,0.1,1.54
1319,Batman: Arkham Knight,XOne,Action,Warner Bros. Interactive Entertainment,0.86,0.46,0,0.13,1.45
1446,Mortal Kombat X,XOne,Fighting,Warner Bros. Interactive Entertainment,1,0.21,0,0.13,1.35
1526,Rise of the Tomb Raider,XOne,Adventure,Square Enix,0.53,0.64,0.02,0.1,1.3
1528,Yoshi's Woolly World,WiiU,Platform,Nintendo,0.61,0.47,0.11,0.1,1.29
1533,Tom Clancy's Rainbow Six: Siege,XOne,Shooter,Ubisoft,0.73,0.44,0,0.12,1.29
1545,Assassin's Creed Syndicate,XOne,Action,Ubisoft,0.61,0.56,0,0.11,1.28
1563,The Elder Scrolls Online,XOne,Role-Playing,Bethesda Softworks,0.77,0.38,0,0.12,1.27
1607,The Witcher 3: Wild Hunt,XOne,Role-Playing,Namco Bandai Games,0.66,0.47,0,0.11,1.24
1632,Fallout 4,PC,Role-Playing,Bethesda Softworks,0.5,0.63,0,0.1,1.23
1672,Just Dance 2016,Wii,Misc,Ubisoft,0.52,0.59,0,0.1,1.2
1674,Battlefield: Hardline,XOne,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.2
1675,WWE 2K16,PS4,Sports,Take-Two Interactive,0.41,0.6,0,0.19,1.2
1704,Pokemon Super Mystery Dungeon,3DS,Role-Playing,Nintendo,0.46,0.31,0.33,0.08,1.19
1739,Destiny: The Taken King,XOne,Shooter,Activision,0.82,0.23,0,0.11,1.17
1834,Mad Max (2015),PS4,Action,Warner Bros. Interactive Entertainment,0.32,0.58,0.04,0.17,1.11
1852,The Legend of Zelda: Tri Force Heroes,3DS,Action,Nintendo,0.52,0.33,0.17,0.08,1.1
1898,Grand Theft Auto V,PC,Action,Take-Two Interactive,0.36,0.64,0,0.08,1.08
1979,Dragon Ball: XenoVerse,PS4,Fighting,Namco Bandai Games,0.3,0.48,0.12,0.15,1.05
2006,Project CARS,PS4,Racing,Slightly Mad Studios,0.17,0.69,0.02,0.15,1.04
2125,Madden NFL 16,X360,Sports,Electronic Arts,0.82,0.05,0,0.1,0.98
2129,Final Fantasy Type-0,PS4,Role-Playing,Square Enix,0.37,0.32,0.15,0.14,0.97
2141,NBA 2K16,X360,Sports,Take-Two Interactive,0.77,0.1,0,0.1,0.97
2173,LEGO Jurassic World,X360,Action,Warner Bros. Interactive Entertainment,0.47,0.4,0,0.08,0.95
2190,Evolve,PS4,Shooter,Take-Two Interactive,0.35,0.41,0.05,0.15,0.95
2231,LEGO Jurassic World,PS3,Action,Warner Bros. Interactive Entertainment,0.34,0.44,0,0.15,0.93
2273,MLB 15: The Show,PS4,Sports,Sony Computer Entertainment,0.67,0.08,0,0.17,0.92
2287,Minecraft: Story Mode,X360,Adventure,Mojang,0.46,0.38,0,0.08,0.91
2331,LEGO Jurassic World,PS4,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.01,0.14,0.89
2369,Just Cause 3,XOne,Action,Square Enix,0.42,0.38,0,0.07,0.88
2411,Monster Strike 3DS,3DS,Action,"mixi, Inc",0,0,0.86,0,0.86
2419,Dragon Quest VIII: Journey of the Cursed King,3DS,Role-Playing,Square Enix,0,0,0.86,0,0.86
2461,Xenoblade Chronicles X,WiiU,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84
2473,Borderlands: The Handsome Collection,PS4,Shooter,Take-Two Interactive,0.36,0.32,0.03,0.14,0.84
2525,Madden NFL 16,PS3,Sports,Electronic Arts,0.56,0.11,0,0.15,0.82
2544,Guitar Hero Live,PS4,Misc,Activision,0.32,0.35,0,0.13,0.81
2556,Dying Light,XOne,Action,Warner Bros. Interactive Entertainment,0.43,0.3,0.01,0.07,0.81
2579,NBA 2K16,PS3,Sports,Take-Two Interactive,0.44,0.19,0.03,0.13,0.8
2645,Pro Evolution Soccer 2016,PS4,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1,0.78
2731,Rare Replay,XOne,Misc,Microsoft Game Studios,0.47,0.21,0.01,0.07,0.75
2773,Mario & Luigi: Paper Jam,3DS,Role-Playing,Nintendo,0.16,0.3,0.25,0.04,0.74
2864,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,Action,Square Enix,0.16,0.13,0.37,0.06,0.71
2877,Final Fantasy X/X-2 HD Remaster,PS4,Role-Playing,Square Enix,0.29,0.25,0.06,0.11,0.71
2884,Rhythm Heaven: The Best+,3DS,Misc,Nintendo,0,0,0.71,0,0.71
2896,Metal Gear Solid V: The Phantom Pain,XOne,Action,Konami Digital Entertainment,0.37,0.26,0.01,0.06,0.71
2935,Metal Gear Solid V: The Phantom Pain,PS3,Action,Konami Digital Entertainment,0.21,0.18,0.22,0.08,0.7
2952,Minecraft: Story Mode,PS3,Adventure,Mojang,0.25,0.33,0,0.11,0.69
2967,Nintendo Presents: New Style Boutique 2 - Fashion Forward,3DS,Misc,Nintendo,0.01,0.61,0.02,0.04,0.69
2981,Disney Infinity 3.0,PS4,Action,Disney Interactive Studios,0.21,0.36,0,0.11,0.68
2996,Need for Speed (2015),XOne,Racing,Electronic Arts,0.3,0.33,0,0.06,0.68
3028,The Witcher 3: Wild Hunt,PC,Role-Playing,Namco Bandai Games,0.2,0.42,0,0.05,0.67
3037,Minecraft: Story Mode,PS4,Adventure,Mojang,0.23,0.33,0,0.11,0.67
3093,F1 2015,PS4,Racing,Codemasters,0.09,0.44,0.03,0.09,0.66
3174,LEGO Dimensions,PS4,Action,Warner Bros. Interactive Entertainment,0.22,0.32,0,0.1,0.64
3214,God of War III,PS4,Action,Sony Computer Entertainment,0.23,0.29,0.01,0.1,0.63
3233,LEGO Jurassic World,XOne,Action,Warner Bros. Interactive Entertainment,0.35,0.22,0,0.06,0.63
3254,Evolve,XOne,Shooter,Take-Two Interactive,0.36,0.2,0,0.06,0.62
3288,NHL 16,PS4,Sports,Electronic Arts,0.35,0.15,0,0.11,0.61
3351,LEGO Jurassic World,3DS,Action,Warner Bros. Interactive Entertainment,0.31,0.22,0.03,0.05,0.6
3421,Tales of Zestiria,PS3,Role-Playing,Namco Bandai Games,0.05,0.09,0.42,0.03,0.59
3430,Dark Souls II,PS4,Role-Playing,Namco Bandai Games,0.2,0.22,0.08,0.08,0.59
3444,Just Dance 2016,WiiU,Misc,Ubisoft,0.28,0.25,0,0.05,0.58
3458,WWE 2K16,XOne,Sports,Take-Two Interactive,0.31,0.22,0,0.05,0.58
3485,WWE 2K16,PS3,Sports,Take-Two Interactive,0.21,0.27,0,0.09,0.58
3560,LEGO Dimensions,X360,Action,Warner Bros. Interactive Entertainment,0.24,0.28,0,0.05,0.56
3595,Xenoblade Chronicles,3DS,Role-Playing,Nintendo,0.26,0.14,0.12,0.04,0.56
3630,Dragon Ball: XenoVerse,PS3,Fighting,Namco Bandai Games,0.15,0.2,0.14,0.07,0.55
3709,LEGO Dimensions,PS3,Action,Warner Bros. Interactive Entertainment,0.15,0.3,0,0.09,0.54
3712,Minecraft: Story Mode,XOne,Adventure,Mojang,0.29,0.21,0,0.05,0.54
3713,Resident Evil: Revelations 2,PS4,Action,Capcom,0.13,0.24,0.1,0.07,0.54
3757,Star Wars Battlefront (2015),PC,Shooter,Electronic Arts,0.13,0.37,0,0.04,0.54
3780,LEGO Jurassic World,WiiU,Action,Warner Bros. Interactive Entertainment,0.28,0.19,0.02,0.04,0.53
3787,Kirby and the Rainbow Curse,WiiU,Platform,Nintendo,0.23,0.14,0.12,0.04,0.53
3890,StarCraft II: Legacy of the Void,PC,Strategy,Activision,0.18,0.29,0,0.04,0.51
3924,LEGO Dimensions,WiiU,Action,Warner Bros. Interactive Entertainment,0.3,0.16,0,0.05,0.51
3935,Rory McIlroy PGA Tour,PS4,Action,Electronic Arts,0.18,0.24,0,0.08,0.51
3944,Guitar Hero Live,XOne,Misc,Activision,0.29,0.17,0,0.05,0.51
3971,WWE 2K16,X360,Sports,Take-Two Interactive,0.27,0.19,0,0.04,0.5
4028,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,Action,Square Enix,0,0,0.49,0,0.49
4079,Battlefield: Hardline,PS3,Shooter,Electronic Arts,0.12,0.23,0.07,0.07,0.49
4127,Skylanders: SuperChargers,WiiU,Action,Activision,0.25,0.18,0,0.04,0.48
4152,Bravely Second: End Layer,3DS,Role-Playing,Nintendo,0.16,0.11,0.18,0.03,0.47
4186,Disney Infinity 3.0,PS3,Action,Disney Interactive Studios,0.14,0.25,0,0.08,0.47
4202,NHL 16,XOne,Sports,Electronic Arts,0.37,0.05,0,0.05,0.47
4275,Farming Simulator 2015,PS3,Simulation,Koch Media,0.11,0.28,0,0.07,0.46
4279,Mad Max (2015),XOne,Action,Warner Bros. Interactive Entertainment,0.26,0.16,0,0.04,0.46
4285,Skylanders: SuperChargers,X360,Action,Activision,0.24,0.18,0,0.04,0.46
4289,Sword Art Online: Lost Song,PSV,Role-Playing,Namco Bandai Games,0.08,0.1,0.23,0.05,0.46
4301,Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,Puzzle,Nintendo,0.05,0.05,0.34,0.01,0.46
4309,Persona 4: Dancing All Night,PSV,Misc,Nippon Ichi Software,0.13,0.1,0.15,0.07,0.46
4354,Pro Evolution Soccer 2016,PS3,Sports,Konami Digital Entertainment,0.08,0.18,0.15,0.05,0.45
4363,One Piece: Pirate Warriors 3,PS4,Action,Namco Bandai Games,0.08,0.22,0.1,0.05,0.45
4402,Mario Tennis Ultra Smash,WiiU,Sports,Nintendo,0.13,0.16,0.13,0.03,0.45
4419,Disney Infinity 3.0,X360,Action,Disney Interactive Studios,0.19,0.21,0,0.04,0.44
4422,Disney Infinity 3.0,WiiU,Action,Disney Interactive Studios,0.2,0.21,0,0.04,0.44
4512,Rock Band 4,XOne,Misc,Harmonix Music Systems,0.35,0.04,0,0.04,0.43
4630,Wolfenstein: The Old Blood,PS4,Action,Bethesda Softworks,0.09,0.25,0.02,0.06,0.42
4659,Animal Crossing: Amiibo Festival,WiiU,Misc,Nintendo,0.19,0.11,0.09,0.03,0.42
4700,Destiny: The Taken King,PS3,Shooter,Activision,0.16,0.17,0.02,0.06,0.41
4706,Farming Simulator 2015,X360,Simulation,Koch Media,0.21,0.16,0,0.04,0.41
4719,LEGO Jurassic World,PSV,Action,Warner Bros. Interactive Entertainment,0.09,0.23,0,0.09,0.41
4771,Borderlands: The Handsome Collection,XOne,Shooter,Take-Two Interactive,0.24,0.13,0,0.04,0.41
4874,Rise of the Tomb Raider,X360,Adventure,Square Enix,0.17,0.19,0,0.03,0.4
4886,Skylanders: SuperChargers,PS3,Action,Activision,0.15,0.18,0,0.06,0.39
4930,MLB 15: The Show,PS3,Sports,Sony Computer Entertainment,0.3,0.01,0,0.07,0.39
4977,Saints Row IV,PS4,Action,Deep Silver,0.13,0.17,0.03,0.06,0.38
4998,God Eater 2: Rage Burst,PSV,Role-Playing,Namco Bandai Games,0,0.01,0.37,0,0.38
5004,Destiny: The Taken King,X360,Shooter,Activision,0.22,0.12,0,0.03,0.38
5026,Tales of Zestiria,PS4,Role-Playing,Namco Bandai Games,0.16,0.15,0.02,0.06,0.38
5109,LEGO Dimensions,XOne,Action,Warner Bros. Interactive Entertainment,0.21,0.13,0,0.03,0.37
5141,Dishonored,PS4,Action,Bethesda Softworks,0.11,0.18,0.02,0.06,0.37
5159,Rock Band 4,PS4,Misc,Harmonix Music Systems,0.25,0.05,0,0.07,0.37
5228,Just Dance 2016,X360,Misc,Ubisoft,0.23,0.1,0,0.03,0.36
5334,Farming Simulator 2015,PS4,Simulation,Koch Media,0.1,0.2,0,0.05,0.35
5347,Just Dance 2016,PS4,Misc,Ubisoft,0.16,0.13,0,0.06,0.35
5437,Battlefield: Hardline,X360,Shooter,Electronic Arts,0.17,0.14,0,0.03,0.34
5484,Dead or Alive 5,PS4,Fighting,Tecmo Koei,0.09,0.13,0.08,0.04,0.33
5556,Dragon Ball Z: Extreme Butoden,3DS,Fighting,Namco Bandai Games,0.12,0.03,0.16,0.02,0.33
5587,Resident Evil: Revelations 2,PS3,Action,Capcom,0.06,0.08,0.16,0.03,0.32
5693,Just Dance 2016,XOne,Misc,Ubisoft,0.24,0.04,0,0.03,0.32
5701,Dragon Ball: XenoVerse,XOne,Fighting,Namco Bandai Games,0.18,0.11,0,0.03,0.31
5727,Hatsune Miku: Project Mirai DX,3DS,Misc,Sega,0.15,0.04,0.1,0.02,0.31
5761,Football Manager 2016,PC,Simulation,Sega,0,0.29,0,0.02,0.31
5764,Disney Infinity 3.0,XOne,Action,Disney Interactive Studios,0.18,0.1,0,0.03,0.31
5874,DmC: Devil May Cry,PS4,Action,Capcom,0.12,0.13,0,0.05,0.3
5884,Tropico 5,PS4,Simulation,Kalypso Media,0.05,0.16,0.05,0.04,0.3
5893,Skylanders: SuperChargers,PS4,Action,Activision,0.17,0.08,0,0.05,0.3
6051,One Piece: Pirate Warriors 3,PS3,Action,Namco Bandai Games,0,0.09,0.19,0.01,0.29
6177,Guitar Hero Live,PS3,Misc,Activision,0.09,0.14,0,0.05,0.28
6261,Deadpool,PS4,Action,Activision,0.13,0.1,0,0.05,0.28
6293,Divinity: Original Sin,PS4,Role-Playing,Focus Home Interactive,0.09,0.12,0.02,0.04,0.27
6327,Disgaea 5: Alliance of Vengeance,PS4,Role-Playing,Nippon Ichi Software,0.1,0.08,0.06,0.04,0.27
6375,Dragon Ball: XenoVerse,X360,Fighting,Namco Bandai Games,0.16,0.08,0,0.02,0.27
6408,Payday 2,PS4,Shooter,505 Games,0.09,0.14,0,0.04,0.27
6428,Rory McIlroy PGA Tour,XOne,Action,Electronic Arts,0.15,0.09,0,0.02,0.27
6467,Skylanders: SuperChargers,Wii,Action,Activision,0.05,0.19,0,0.02,0.26
6620,Tearaway Unfolded,PS4,Platform,Sony Computer Entertainment,0.09,0.12,0,0.04,0.25
6695,J Stars Victory Vs.,PS4,Fighting,Namco Bandai Games,0.07,0.14,0,0.04,0.25
6703,Final Fantasy Type-0,XOne,Role-Playing,Square Enix,0.15,0.07,0,0.02,0.25
6712,The Legend of Legacy,3DS,Role-Playing,FuRyu,0.11,0.02,0.1,0.01,0.25
6726,Yakuza Zero: The Place of Oath,PS3,Action,Sega,0,0,0.25,0,0.25
6745,Anno 2205,PC,Strategy,Ubisoft,0.02,0.22,0,0.01,0.25
6781,LEGO Ninjago: Shadow of Ronin,PSV,Action,Warner Bros. Interactive Entertainment,0.03,0.16,0,0.05,0.24
6827,F1 2015,XOne,Racing,Codemasters,0.08,0.15,0,0.02,0.24
6841,Stella Glow,3DS,Role-Playing,Atlus,0.16,0.01,0.05,0.02,0.24
6902,Chibi-Robo! Zip Lash,3DS,Platform,Nintendo,0.09,0.08,0.06,0.02,0.24
6922,Guitar Hero Live,X360,Misc,Activision,0.12,0.1,0,0.02,0.24
6963,Etrian Mystery Dungeon,3DS,Role-Playing,Nippon Ichi Software,0.09,0.01,0.12,0.01,0.23
6979,Girls Mode 3: Kirakira Code,3DS,Action,Nintendo,0,0,0.23,0,0.23
6989,Total War: Attila,PC,Strategy,Sega,0.09,0.13,0,0.02,0.23
7009,Sword Art Online: Lost Song,PS4,Role-Playing,Namco Bandai Games,0.09,0.1,0,0.04,0.23
7021,Skylanders: SuperChargers,XOne,Action,Activision,0.16,0.05,0,0.02,0.23
7050,Project CARS,XOne,Racing,Slightly Mad Studios,0.08,0.13,0,0.02,0.23
7052,Call of Duty: Black Ops 3,PC,Shooter,Activision,0,0.22,0,0.01,0.23
7126,Senran Kagura: Estival Versus,PSV,Action,Marvelous Interactive,0.06,0.05,0.09,0.03,0.23
7163,Dark Souls II,XOne,Role-Playing,Namco Bandai Games,0.13,0.07,0,0.02,0.22
7213,Tom Clancy's Rainbow Six: Siege,PC,Shooter,Ubisoft,0.12,0.08,0,0.02,0.22
7256,Transformers: Devastation,PS4,Action,Activision,0.1,0.08,0,0.04,0.22
7260,Just Dance 2016,PS3,Misc,Ubisoft,0.1,0.08,0,0.04,0.22
7270,Shin Megami Tensei x Fire Emblem,WiiU,Role-Playing,Nintendo,0.1,0.04,0.06,0.01,0.22
7282,Darksiders II,PS4,Action,Nordic Games,0.09,0.1,0,0.04,0.22
7292,Code Name: S.T.E.A.M.,3DS,Strategy,Nintendo,0.14,0.05,0.01,0.02,0.22
7305,One Piece: Pirate Warriors 3,PSV,Action,Namco Bandai Games,0,0.07,0.13,0.02,0.22
7311,Ride,PS4,Racing,Milestone S.r.l.,0.03,0.13,0.03,0.03,0.22
7376,Metal Gear Solid V: The Phantom Pain,X360,Action,Konami Digital Entertainment,0.12,0.08,0,0.02,0.21
7488,LEGO Ninjago: Shadow of Ronin,3DS,Action,Warner Bros. Interactive Entertainment,0.05,0.1,0.04,0.01,0.21
7550,State of Decay,XOne,Strategy,Microsoft Game Studios,0.14,0.05,0,0.02,0.2
7563,Assassin's Creed Syndicate,PC,Action,Ubisoft,0.1,0.08,0,0.02,0.2
7609,Saints Row IV,XOne,Action,Deep Silver,0.1,0.09,0,0.02,0.2
7634,Tony Hawk's Pro Skater 5,PS4,Sports,Activision,0.09,0.08,0,0.03,0.2
7731,Zombie Army Trilogy,PS4,Shooter,Rebellion Developments,0.04,0.12,0,0.03,0.2
7770,The Sims 4: Get Together,PC,Simulation,Electronic Arts,0.05,0.13,0,0.01,0.19
7784,Great Phoenix Wright: Ace Attorney - Naruhodou Ryuunosuke no Bouken,3DS,Action,Capcom,0,0,0.19,0,0.19
7834,Farming Simulator 2015,XOne,Simulation,Koch Media,0.1,0.07,0,0.02,0.19
7868,Disney Magic World 2,3DS,Action,Nintendo,0,0,0.19,0,0.19
7901,God Eater Resurrection,PSV,Action,Namco Bandai Games,0,0,0.19,0,0.19
7942,3rd Super Robot Wars Z: Tengoku-Hen,PSV,Action,Namco Bandai Games,0,0,0.19,0,0.19
8029,Evolve,PC,Shooter,Take-Two Interactive,0.07,0.1,0,0.01,0.18
8077,Dying Light,PC,Action,Warner Bros. Interactive Entertainment,0.11,0.06,0,0.02,0.18
8106,Guitar Hero Live,WiiU,Misc,Activision,0.12,0.04,0,0.02,0.18
8136,FIFA 16,PC,Sports,Electronic Arts,0.04,0.13,0,0.01,0.18
8234,Back to the Future: The Game,PS4,Adventure,Telltale Games,0.1,0.04,0,0.03,0.17
8261,Yakuza Zero: The Place of Oath,PS4,Action,Sega,0,0,0.17,0,0.17
8356,NBA Live 16,PS4,Sports,Electronic Arts,0.1,0.04,0,0.03,0.17
8379,MotoGP 15,PS4,Racing,Milestone S.r.l.,0,0.12,0.03,0.02,0.17
8393,Digimon Story: Cyber Sleuth,PSV,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17
8416,Toukiden Kiwami,PS4,Action,Tecmo Koei,0.05,0.07,0.02,0.02,0.17
8430,Payday 2,XOne,Shooter,505 Games,0.08,0.07,0,0.01,0.17
8433,NASCAR '15,X360,Sports,Deep Silver,0.15,0,0,0.02,0.17
8450,Senran Kagura: Estival Versus,PS4,Action,Marvelous Interactive,0.07,0,0.08,0.02,0.17
8456,Project X Zone 2: Brave New World,3DS,Role-Playing,Namco Bandai Games,0.04,0.04,0.08,0.01,0.17
8466,Mobile Suit Gundam: Extreme VS Force,PSV,Action,Namco Bandai Games,0,0,0.16,0,0.16
8530,Bladestorm: Nightmare,PS4,Action,Tecmo Koei,0.07,0.04,0.03,0.02,0.16
8678,7th Dragon III Code: VFD,3DS,Role-Playing,Sega,0.03,0,0.12,0,0.16
8770,Wolfenstein: The Old Blood,XOne,Action,Bethesda Softworks,0.07,0.07,0,0.01,0.15
8801,Theatrhythm Dragon Quest,3DS,Misc,Square Enix,0,0,0.15,0,0.15
8845,Saint Seiya: Soldiers' Soul,PS4,Fighting,Namco Bandai Games,0,0.09,0.04,0.02,0.15
8848,3rd Super Robot Wars Z: Tengoku-Hen,PS3,Action,Namco Bandai Games,0,0,0.15,0,0.15
8858,Return to PopoloCrois: A Story of Seasons Fairytale,3DS,Simulation,Marvelous Entertainment,0.04,0,0.1,0.01,0.15
8867,Tokyo Xanadu,PSV,Role-Playing,Nihon Falcom Corporation,0,0,0.15,0,0.15
8895,Pro Baseball Spirits 2015,PS3,Action,Konami Digital Entertainment,0,0,0.15,0,0.15
9034,Dishonored,XOne,Action,Bethesda Softworks,0.08,0.05,0,0.01,0.14
9039,Disney Infinity 2.0: Marvel Super Heroes,PSV,Action,Disney Interactive Studios,0,0.11,0,0.03,0.14
9105,Sumikko Gurashi: Omise Hajimerundesu,3DS,Action,Nippon Columbia,0,0,0.14,0,0.14
9138,Just Cause 3,PC,Action,Square Enix,0.03,0.11,0,0.01,0.14
9186,Monster Hunter Diary: Poka Poka Airou Village DX,3DS,Action,Capcom,0,0,0.14,0,0.14
9232,Cities: Skylines,PC,Simulation,Paradox Interactive,0,0.13,0,0.01,0.14
9245,Famista Returns,3DS,Sports,Namco Bandai Games,0,0,0.14,0,0.14
9263,BlazBlue: Chrono Phantasma Extend,PS4,Action,PQube,0.07,0.03,0.02,0.02,0.14
9306,Battlefield: Hardline,PC,Shooter,Electronic Arts,0,0.13,0,0.01,0.14
9362,Shovel Knight,3DS,Platform,Yacht Club Games,0.07,0.04,0.01,0.01,0.13
9371,Transformers: Devastation,XOne,Action,Activision,0.09,0.03,0,0.01,0.13
