Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
85,GoldenEye 007,N64,Nintendo,5.8,2.01,0.13,0.15,8.09
282,Half-Life,PC,Vivendi Games,4.03,0,0.09,0,4.12
297,Star Fox 64,N64,Nintendo,2.78,0.58,0.64,0.04,4.03
1079,Time Crisis,PS,Namco Bandai Games,0.38,0.87,0.33,0.1,1.68
3311,Duke Nukem: Total Meltdown,PS,GT Interactive,0.34,0.23,0,0.04,0.61
4192,Doom 64,N64,Midway Games,0.38,0.08,0,0.01,0.47
4440,Independence Day,PS,Fox Interactive,0.25,0.17,0,0.03,0.44
4454,Duke Nukem 64,N64,GT Interactive,0.35,0.08,0,0.01,0.44
5408,Point Blank,PS,Sony Computer Entertainment,0.05,0.03,0.23,0.02,0.34
5738,Einhänder,PS,SquareSoft,0.1,0.07,0.13,0.02,0.31
7599,MDK,PS,Interplay,0.11,0.08,0,0.01,0.2
8906,Mobile Suit Gundam Side Story III: Sabakareshi Mono,SAT,Namco Bandai Games,0,0,0.15,0,0.15
9099,Xevious 3D/G+,PS,Sony Computer Entertainment,0.01,0.01,0.11,0.01,0.14
9495,The House of the Dead,SAT,Sega,0,0,0.13,0,0.13
10084,Mass Destruction,PS,BMG Interactive Entertainment,0.06,0.04,0,0.01,0.11
10178,Maximum Force,PS,GT Interactive,0.06,0.04,0,0.01,0.11
10316,Hexen: Beyond Heretic,PS,GT Interactive,0.06,0.04,0,0.01,0.11
10620,Choujikuu Yousai Macross: Ai Oboete Imasu ka,SAT,Namco Bandai Games,0,0,0.1,0,0.1
10751,Descent Maximum,PS,Interplay Productions,0.05,0.04,0,0.01,0.1
11229,Codename Tenka,PS,Psygnosis,0.05,0.03,0,0.01,0.09
11633,Virus,SAT,Hudson Soft,0,0,0.08,0,0.08
11844,G Darius,PS,THQ,0.04,0.03,0,0,0.07
12031,RayStorm,PS,Sony Computer Entertainment,0.04,0.03,0,0,0.07
12798,Elemental Gearbolt,PS,Sony Computer Entertainment,0.03,0.02,0,0,0.06
13365,Turok: Dinosaur Hunter,N64,Acclaim Entertainment,0,0,0.05,0,0.05
13902,Crypt Killer,PS,Konami Digital Entertainment,0.02,0.01,0,0,0.04
14807,Nanotek Warrior,PS,Virgin Interactive,0.01,0.01,0,0,0.03
