Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3124,Mary-Kate and Ashley: Magical Mystery Mall,PS,Acclaim Entertainment,0.36,0.24,0,0.04,0.65
4667,Mega Man Legends 2,PS,Capcom,0.17,0.12,0.1,0.03,0.42
4863,Boku no Natsuyasumi,PS,Sony Computer Entertainment,0,0,0.37,0.03,0.4
6289,Evil Dead: Hail to the King,PS,THQ,0.15,0.1,0,0.02,0.27
7489,Bugs Bunny & Taz: Time Busters,PS,Infogrames,0.11,0.08,0,0.01,0.21
8221,The Wild Thornberrys: Animal Adventures,PS,Mattel Interactive,0.1,0.07,0,0.01,0.17
9015,Sakura Wars GB,GB,Media Factory,0,0,0.14,0,0.14
9410,Chicken Run,PS,Eidos Interactive,0.07,0.05,0,0.01,0.13
10371,Sakura Wars,DC,Sega,0,0,0.11,0,0.11
10680,"Sakura Wars 2: Kimi, Shinitamou koto Nakare",DC,Sega,0,0,0.1,0,0.1
11088,Blood: The Last Vampire (Joukan),PS2,Sony Computer Entertainment,0,0,0.09,0,0.09
11517,Sentimental Graffiti 2,DC,NEC Interchannel,0,0,0.08,0,0.08
12274,Kanon,DC,NEC Interchannel,0,0,0.06,0,0.06
12769,Angelique Trois,PS2,Tecmo Koei,0,0,0.06,0,0.06
12779,Gold and Glory: The Road to El Dorado,PS,Ubisoft,0.03,0.02,0,0,0.06
14659,In Cold Blood,PS,Sony Computer Entertainment,0.02,0.01,0,0,0.03
