Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1622,Kirby Tilt 'n' Tumble,GB,Nintendo,0.29,0.17,0.75,0.02,1.23
4148,Fantavision,PS2,Sony Computer Entertainment,0.14,0.11,0.19,0.04,0.47
4367,Pokemon Puzzle League,N64,Nintendo,0.36,0.08,0,0.01,0.45
4450,Ms. Pac-Man Maze Madness,PS,Namco Bandai Games,0.25,0.17,0,0.03,0.44
5380,Super Bust-A-Move,PS2,Acclaim Entertainment,0.17,0.13,0,0.04,0.34
5814,Spin Jam,PS,Empire Interactive,0.17,0.12,0,0.02,0.31
7229,Ms. Pac-Man: Maze Madness,N64,Namco Bandai Games,0.18,0.04,0,0,0.22
8114,The Adventures of Cookie & Cream,PS2,Empire Interactive,0.09,0.07,0,0.02,0.18
10347,Aqua Aqua,PS2,3DO,0.05,0.04,0,0.01,0.11
13509,I.Q. Remix+: Intelligent Qube,PS2,Sony Computer Entertainment,0,0,0.04,0,0.04
15376,Rat Attack!,N64,Mindscape,0.02,0,0,0,0.02
16521,Crossroad Crisis,PS,Success,0.01,0,0,0,0.01
