Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
749,ATV Offroad Fury 2,PS2,THQ,1.92,0.2,0,0.06,2.18
782,Need for Speed: Hot Pursuit 2,PS2,Electronic Arts,1.68,0.31,0.02,0.09,2.11
1198,Stuntman,PS2,Atari,0.76,0.59,0,0.2,1.55
1389,Colin McRae Rally 3,PS2,Codemasters,0.03,1.05,0.02,0.3,1.4
1457,Test Drive,PS2,Atari,0.95,0.21,0.01,0.18,1.34
1502,IHRA Drag Racing 2,PS2,Bethesda Softworks,0.64,0.5,0,0.17,1.31
1942,Freekstyle,PS2,Electronic Arts,0.52,0.41,0,0.14,1.06
1963,Seek and Destroy,PS2,Play It,0.52,0.4,0,0.14,1.06
2449,Burnout 2: Point of Impact,PS2,Acclaim Entertainment,0.42,0.32,0,0.11,0.85
2472,Big Mutha Truckers,PS2,Empire Interactive,0.41,0.32,0,0.11,0.84
2514,Need for Speed: Hot Pursuit 2,XB,Electronic Arts,0.68,0.11,0,0.03,0.82
2589,Need for Speed: Hot Pursuit 2,GC,Electronic Arts,0.68,0.09,0,0.02,0.8
2869,Super Trucks Racing,PS2,Jester Interactive,0.35,0.27,0,0.09,0.71
3108,Monster Jam: Maximum Destruction,PS2,Ubisoft,0.32,0.25,0,0.08,0.65
3545,Wreckless: ThE YaKuza MisSiOns,XB,Activision,0.42,0.11,0.02,0.02,0.57
3551,RalliSport Challenge,XB,Microsoft Game Studios,0.39,0.16,0,0.02,0.57
3889,HSX HyperSonic.Xtreme,PS2,Midas Interactive Entertainment,0.25,0.2,0,0.07,0.51
4144,World of Outlaws: Sprint Cars 2002,PS2,Ignition Entertainment,0.23,0.18,0,0.06,0.48
4178,Hot Wheels Velocity X,PS2,THQ,0.23,0.18,0,0.06,0.47
4400,Sled Storm,PS2,Electronic Arts,0.22,0.17,0,0.06,0.45
4619,Test Drive,XB,Atari,0.35,0.05,0,0.02,0.42
4963,Auto Modellista,PS2,Capcom,0.19,0.15,0,0.05,0.39
5417,Spy Hunter,XB,Midway Games,0.25,0.07,0,0.01,0.34
5789,NASCAR Thunder 2003,GC,Electronic Arts,0.24,0.06,0,0.01,0.31
5794,Star Wars Racer Revenge,PS2,LucasArts,0.15,0.12,0,0.04,0.31
5827,Shrek Swamp Kart Speedway,GBA,TDK Mediactive,0.22,0.08,0,0.01,0.3
5847,Burnout,GC,Acclaim Entertainment,0.23,0.06,0,0.01,0.3
6172,MX SuperFly featuring Ricky Carmichael,PS2,THQ,0.14,0.11,0,0.04,0.28
6275,Motocross Maniacs Advance,GBA,Konami Digital Entertainment,0.2,0.07,0,0,0.27
6306,Pro Race Driver,PS2,Codemasters,0.13,0.1,0,0.03,0.27
6313,NickToons: Racing,GBA,Infogrames,0.19,0.07,0,0,0.27
6376,NASCAR Thunder 2003,XB,Electronic Arts,0.2,0.06,0,0.01,0.27
6515,Riding Spirits,PS2,BAM! Entertainment,0.13,0.1,0,0.03,0.26
6589,ATV: Quad Power Racing,GBA,Liquid Games,0.18,0.07,0,0,0.26
6672,WipEout Fusion,PS2,Sony Computer Entertainment,0.12,0.1,0,0.03,0.25
6904,XS Airboat Racing,PS,XS Games,0.13,0.09,0,0.02,0.24
7278,Wreckless: ThE YaKuza MisSiOns,PS2,Activision,0.11,0.08,0,0.03,0.22
7529,Crazy Taxi 3: High Roller,XB,Sega,0.14,0.04,0.02,0.01,0.2
7587,Spy Hunter,GC,Midway Games,0.16,0.04,0,0.01,0.2
