Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2646,Worms: Open Warfare,PSP,THQ,0.11,0.43,0,0.24,0.78
3064,Thrillville,PS2,Atari,0.55,0.02,0,0.09,0.66
5783,Lord of the Rings: Battle for Middle-Earth,X360,Electronic Arts,0.28,0,0,0.02,0.31
6304,SD Gundam G Generation Portable,PSP,Namco Bandai Games,0,0,0.27,0,0.27
7030,Age of Empires: The Age of Kings,DS,THQ,0.19,0.02,0,0.02,0.23
7497,Thrillville,PSP,Atari,0.18,0,0,0.02,0.2
8559,Scarface: Money. Power. Respect.,PSP,Vivendi Games,0.15,0,0,0.01,0.16
8569,Field Commander,PSP,Sony Online Entertainment,0.14,0,0,0.01,0.16
9282,Yu-Gi-Oh! GX: Tag Force,PSP,Konami Digital Entertainment,0.09,0.03,0,0.02,0.14
10811,SNK vs. Capcom Card Fighters DS,DS,Ignition Entertainment,0.09,0,0,0.01,0.1
10848,Medieval II: Total War,PC,Sega,0,0.08,0,0.02,0.09
11137,Nobunaga's Ambition: Iron Triangle,PS2,Tecmo Koei,0.04,0.03,0,0.01,0.09
11160,Star Wars: Empire at War,PC,LucasArts,0.01,0.06,0,0.02,0.09
11362,Worms: Open Warfare,DS,THQ,0.05,0.03,0,0.01,0.08
12232,Full Spectrum Warrior: Ten Hammers,PS2,THQ,0.03,0.02,0,0.01,0.07
12379,Star Trek: Tactical Assault,DS,Ubisoft,0.05,0.01,0,0,0.06
12734,The Lord of the Rings: The Battle for Middle-Earth II,X360,Electronic Arts,0,0.05,0,0.01,0.06
13207,SD Gundam: Scad Hammers,Wii,Namco Bandai Games,0,0,0.05,0,0.05
13303,Company of Heroes,PC,THQ,0,0.04,0,0.01,0.05
13361,Full Spectrum Warrior: Ten Hammers,XB,THQ,0.03,0.01,0,0,0.05
13660,Heroes of Might and Magic V,PC,Ubisoft,0,0.03,0,0.01,0.04
13850,The Adventures of Darwin,PS2,Essential Games,0.01,0,0.03,0,0.04
13871,Caesar IV,PC,Vivendi Games,0,0.03,0,0.01,0.04
13974,Chaos Wars,PS2,Idea Factory,0,0,0.04,0,0.04
14161,Rise of Nations: Rise of Legends,PC,Microsoft Game Studios,0,0.03,0,0.01,0.03
14268,Rome: Total War - Gold Edition,PC,Sega,0,0.03,0,0.01,0.03
14520,Tenka-bito,PS2,Sega,0,0,0.03,0,0.03
14523,Star Trek: Tactical Assault,PSP,Ubisoft,0.02,0.01,0,0,0.03
14633,Galaxy Angel II: Zettairyouiki no Tobira,PS2,Broccoli,0,0,0.03,0,0.03
14673,Warhammer: Mark of Chaos,PC,Deep Silver,0,0.02,0,0,0.03
14886,Tank Beat,DS,Midas Interactive Entertainment,0.01,0.01,0,0,0.03
14922,Star Wars: Empire at War - Forces of Corruption,PC,LucasArts,0,0.02,0,0,0.02
14933,ParaWorld,PC,Deep Silver,0,0.02,0,0,0.02
15064,Mage Knight: Destiny's Soldier,DS,Namco Bandai Games,0.02,0,0,0,0.02
15209,The Lord of the Rings: The Battle for Middle-Earth II,PC,Electronic Arts,0.01,0.01,0,0,0.02
15249,Sakura Wars 1 & 2,PSP,Sega,0,0,0.02,0,0.02
15275,Command & Conquer: The First Decade,PC,Electronic Arts,0.01,0.01,0,0,0.02
15378,Chuugen no Hasha: Sangoku Shouseiden,PSP,Namco Bandai Games,0,0,0.02,0,0.02
15471,Tycoon City: New York,PC,Atari,0,0.02,0,0,0.02
15684,Stronghold Legends,PC,Take-Two Interactive,0,0.01,0,0,0.02
16021,Nobunaga no Yabou DS,DS,Tecmo Koei,0,0,0.01,0,0.01
16066,Super Robot Taisen XO,X360,Banpresto,0,0,0.01,0,0.01
