Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
14,Wii Fit,Wii,Nintendo,8.94,8.03,3.6,2.15,22.72
86,Mario & Sonic at the Olympic Games,Wii,Sega,2.58,3.9,0.66,0.91,8.06
349,Pro Evolution Soccer 2008,PS2,Konami Digital Entertainment,0.05,0,0.64,2.93,3.63
441,FIFA Soccer 08,PS2,Electronic Arts,0.68,0,0,2.46,3.14
582,Mario Strikers Charged,Wii,Nintendo,1.07,1.06,0.24,0.25,2.62
601,Madden NFL 08,PS2,Electronic Arts,2.14,0.08,0,0.35,2.57
666,Madden NFL 08,X360,Electronic Arts,2.18,0.01,0,0.18,2.37
1003,FIFA Soccer 08,PS3,Electronic Arts,0.35,1.07,0.02,0.32,1.76
1166,Pro Evolution Soccer 2008,PS3,Konami Digital Entertainment,0.04,1.1,0.32,0.13,1.59
1442,FIFA Soccer 08,PSP,Electronic Arts,0.2,0.76,0,0.39,1.35
1455,FIFA Soccer 08,X360,Electronic Arts,0.31,0.89,0.01,0.14,1.35
1521,EA Playground,Wii,Electronic Arts,0.69,0.48,0,0.13,1.3
1566,Rockstar Games presents Table Tennis,Wii,Take-Two Interactive,0.39,0.73,0,0.15,1.27
1583,Winter Sports: The Ultimate Challenge,Wii,RTL,0.45,0.68,0,0.12,1.26
1788,Hot Shots Golf: Out of Bounds,PS3,Sony Computer Entertainment,0.31,0.03,0.76,0.04,1.14
1831,Worldwide Soccer Manager 2008,PC,Russel,0,1.12,0,0,1.12
1928,Pro Evolution Soccer 2008,X360,Konami Digital Entertainment,0.08,0.9,0.04,0.05,1.07
1962,Virtua Tennis 3,PS3,Sega,0.23,0.59,0.03,0.22,1.06
2017,Tiger Woods PGA Tour 08,Wii,Electronic Arts,0.94,0.02,0,0.08,1.03
2028,FIFA Soccer 08,Wii,Electronic Arts,0.32,0.59,0.01,0.11,1.02
2130,Madden NFL 08,PS3,Electronic Arts,0.89,0.01,0,0.08,0.97
2239,MLB 07: The Show,PS2,Sony Computer Entertainment,0.77,0.03,0,0.13,0.93
2276,AMF Bowling Pinbusters!,Wii,Bethesda Softworks,0.85,0,0,0.07,0.91
2329,Madden NFL 08,Wii,Electronic Arts,0.82,0.01,0,0.07,0.89
2431,FIFA Soccer 08,DS,Electronic Arts,0.1,0.65,0,0.11,0.85
2435,NBA 2K8,X360,Take-Two Interactive,0.79,0,0,0.07,0.85
2624,NCAA Football 08,PS2,Electronic Arts,0.65,0.03,0,0.11,0.79
2790,Tiger Woods PGA Tour 08,PS3,Electronic Arts,0.22,0.38,0,0.14,0.74
2835,NBA Live 08,PS2,Electronic Arts,0.59,0.02,0.01,0.1,0.72
2841,Major League Baseball 2K7,X360,Spike,0.67,0,0,0.05,0.72
2848,Skate,X360,Electronic Arts,0.62,0.04,0,0.06,0.72
2871,Madden NFL 08,PSP,Electronic Arts,0.6,0.04,0,0.07,0.71
2912,NCAA Football 08,X360,Electronic Arts,0.65,0,0,0.05,0.7
2988,Hot Shots Golf: Open Tee 2,PSP,Sony Computer Entertainment,0.21,0.11,0.28,0.08,0.68
3057,Tony Hawk's Proving Ground,PS2,Activision,0.55,0.02,0,0.09,0.66
3178,NBA Live 08,PS3,Electronic Arts,0.56,0.02,0.01,0.05,0.64
3210,Cabela's Big Game Hunter (2008),Wii,Activision,0.58,0,0,0.05,0.63
3345,NBA 2K8,PS2,Take-Two Interactive,0.5,0.02,0,0.08,0.6
3379,Major League Baseball 2K7,PS2,Spike,0.29,0.23,0,0.08,0.6
3572,NCAA March Madness 07,PS2,Electronic Arts,0.28,0.22,0,0.07,0.56
3590,Tony Hawk's Proving Ground,X360,Activision,0.49,0.02,0,0.04,0.56
3660,NBA 2K8,PS3,Take-Two Interactive,0.5,0.01,0,0.05,0.55
3692,Tiger Woods PGA Tour 08,X360,Electronic Arts,0.49,0.02,0,0.04,0.54
3836,NBA Live 08,X360,Electronic Arts,0.47,0,0,0.04,0.52
3932,The BIGS,PS2,Take-Two Interactive,0.25,0.19,0,0.06,0.51
3985,NBA Street Homecourt,X360,Electronic Arts,0.45,0.01,0,0.04,0.5
4225,Imagine: Figure Skater (US sales),DS,Ubisoft,0.46,0.01,0,0,0.47
4389,Tony Hawk's Proving Ground,PS3,Activision,0.36,0.05,0,0.05,0.45
4840,Brunswick Pro Bowling,PS2,505 Games,0.2,0.15,0,0.05,0.4
4891,Brunswick Pro Bowling,Wii,505 Games,0.36,0.01,0,0.03,0.39
4967,Tiger Woods PGA Tour 08,PS2,Electronic Arts,0.19,0.15,0,0.05,0.39
5010,Skate,PS3,Electronic Arts,0.29,0.05,0,0.04,0.38
5013,NCAA Football 08,PS3,Electronic Arts,0.35,0,0,0.03,0.38
5051,Tiger Woods PGA Tour 08,PSP,Electronic Arts,0.14,0.15,0,0.09,0.38
5101,The BIGS,Wii,Take-Two Interactive,0.34,0,0,0.03,0.37
5166,My Horse & Me,DS,Atari,0.33,0,0,0.03,0.36
5320,College Hoops 2K8,PS2,Take-Two Interactive,0.17,0.13,0,0.04,0.35
5403,Football Manager Handheld 2008,PSP,Sega,0,0.34,0,0,0.34
5528,SSX Blur,Wii,Electronic Arts,0.29,0.01,0,0.03,0.33
5552,EA Playground,DS,Electronic Arts,0.29,0.01,0,0.03,0.33
5640,My Horse & Me,Wii,Atari,0.27,0.02,0,0.03,0.32
5712,Jikkyou Powerful Pro Yakyuu 14,PS2,Konami Digital Entertainment,0,0,0.31,0,0.31
5730,MLB 07: The Show,PS3,Sony Computer Entertainment,0.29,0,0,0.02,0.31
5768,J-League Winning Eleven 2007: Club Championship,PS2,Konami Digital Entertainment,0,0,0.31,0,0.31
5795,NBA Live 08,PSP,Electronic Arts,0.28,0,0,0.02,0.31
5936,Power Pro Kun Pocket 10,DS,Konami Digital Entertainment,0,0,0.3,0,0.3
5976,MLB Power Pros,Wii,Konami Digital Entertainment,0.23,0,0.04,0.02,0.29
5990,Punch-Out!!,Wii,Nintendo,0.02,0.22,0.05,0,0.29
6047,Madden NFL 08,XB,Electronic Arts,0.22,0.06,0,0.01,0.29
6074,Surf's Up,PS2,Ubisoft,0.14,0.11,0,0.04,0.29
6170,Surf's Up,DS,Ubisoft,0.26,0,0,0.02,0.28
6180,MLB 07: The Show,PSP,Sony Computer Entertainment,0.26,0,0,0.02,0.28
6264,Cabela's Trophy Bucks,PS2,Activision Value,0.13,0.11,0,0.04,0.27
6396,The BIGS,X360,Take-Two Interactive,0.18,0.08,0,0,0.27
6398,Madden NFL 08,DS,Electronic Arts,0.24,0,0,0.02,0.27
6445,All-Pro Football 2K8,X360,Take-Two Interactive,0.24,0,0,0.02,0.26
6528,NCAA March Madness 08,PS2,Electronic Arts,0.13,0.1,0,0.03,0.26
6646,Tony Hawk's Proving Ground,Wii,Activision,0.22,0.01,0,0.02,0.25
6739,We Love Golf!,Wii,Capcom,0.2,0.01,0.03,0.02,0.25
6760,Major League Baseball 2K7,PS3,Spike,0.23,0,0,0.02,0.25
7034,Ultimate Duck Hunting: Hunting & Retrieving Ducks,Wii,Detn8 Games,0.21,0,0,0.02,0.23
7066,Tony Hawk's Proving Ground,DS,Activision,0.21,0.01,0,0.02,0.23
7105,Hooked! Real Motion Fishing,Wii,505 Games,0.21,0,0,0.02,0.23
7332,Dorabase DS: Dramatic Stadium,DS,Namco Bandai Games,0,0,0.21,0,0.21
7350,NCAA March Madness 08,X360,Electronic Arts,0.2,0,0,0.02,0.21
7411,Brunswick Pro Bowling,PSP,505 Games,0.19,0,0,0.02,0.21
