Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,0.66,0.69,4.35,0.15,5.84
170,Final Fantasy XIII,PS3,Square Enix,1.74,1.24,1.87,0.52,5.36
320,Mario & Luigi: Bowser's Inside Story,DS,Nintendo,2.26,0.48,0.81,0.27,3.83
600,Dragon Age: Origins,X360,Electronic Arts,1.76,0.56,0.03,0.22,2.57
720,Monster Hunter Tri,Wii,Nintendo,0.67,0.41,1.05,0.11,2.25
831,Kingdom Hearts 358/2 Days,DS,Square Enix,1.11,0.27,0.53,0.14,2.04
943,Demon's Souls,PS3,Namco Bandai Games,0.97,0.34,0.35,0.18,1.84
1064,Dragon Age: Origins,PS3,Electronic Arts,0.96,0.44,0.08,0.22,1.69
1180,Pokemon Mystery Dungeon: Explorers of Sky,DS,Nintendo,0.58,0.44,0.44,0.12,1.58
1366,Inazuma Eleven 2,DS,Nintendo,0,0.21,1.18,0.03,1.42
2289,Marvel: Ultimate Alliance 2,X360,Activision,0.68,0.15,0,0.08,0.91
2375,Phantasy Star Portable 2,PSP,Sega,0.08,0.11,0.62,0.06,0.88
2613,Star Ocean: The Last Hope,X360,Square Enix,0.32,0.2,0.21,0.06,0.79
2761,Marvel: Ultimate Alliance 2,PS3,Activision,0.49,0.16,0,0.09,0.75
3227,Shin Megami Tensei: Persona 3 Portable,PSP,Ghostlight,0.18,0.06,0.34,0.04,0.63
3247,Sacred 2: Fallen Angel,PS3,Deep Silver,0.22,0.23,0.08,0.09,0.62
3285,Muramasa: The Demon Blade,Wii,Rising Star Games,0.33,0.13,0.11,0.04,0.61
3396,Final Fantasy: The 4 Heroes of Light,DS,Square Enix,0.23,0.11,0.23,0.03,0.59
3533,3D Dot Game Heroes,PS3,SouthPeak Games,0.36,0.12,0.03,0.07,0.57
3699,Sacred 2: Fallen Angel,X360,Deep Silver,0.29,0.17,0.04,0.05,0.54
3880,Dragon Age: Origins,PC,Electronic Arts,0,0.46,0,0.06,0.51
3960,Atelier Rorona: Alchemist of Arland,PS3,Nippon Ichi Software,0.22,0.12,0.11,0.05,0.5
4136,Final Fantasy Crystal Chronicles: Echoes of Time,DS,Square Enix,0.12,0.06,0.27,0.02,0.48
4310,Tales of Vesperia,PS3,Namco Bandai Games,0,0,0.45,0,0.45
4521,Rune Factory 3: A Fantasy Harvest Moon,DS,Rising Star Games,0.28,0.03,0.1,0.02,0.43
4766,Marvel: Ultimate Alliance 2,PS2,Activision,0.23,0.02,0,0.16,0.41
4993,Fragile Dreams: Farewell Ruins of the Moon,Wii,Rising Star Games,0.17,0.12,0.06,0.03,0.38
5077,Dragon Ball Z: Attack of the Saiyans,DS,Namco Bandai Games,0.13,0.02,0.21,0.01,0.38
5460,Tales of the World: Radiant Mythology 2,PSP,Namco Bandai Games,0,0,0.33,0,0.33
5466,Marvel: Ultimate Alliance 2,Wii,Activision,0.26,0.05,0,0.03,0.33
5823,Magna Carta 2,X360,Banpresto,0.13,0.08,0.07,0.02,0.3
5998,Shin Megami Tensei: Strange Journey,DS,Atlus,0.14,0,0.14,0.01,0.29
6371,Shin Megami Tensei: Devil Survivor,DS,Atlus,0.14,0,0.12,0.01,0.27
6380,Final Fantasy XI: Ultimate Collection,X360,Square Enix,0.25,0,0,0.02,0.27
6463,Beyblade: Metal Fusion,DS,Hudson Soft,0.08,0.03,0.14,0.01,0.26
6497,Final Fantasy Crystal Chronicles: Echoes of Time,Wii,Square Enix,0.13,0.06,0.05,0.02,0.26
6711,Marvel: Ultimate Alliance 2,PSP,Activision,0.17,0.04,0,0.04,0.25
6713,Disgaea 2: Dark Hero Days,PSP,Nippon Ichi Software,0.1,0.01,0.12,0.02,0.25
6748,Monster Hunter G,Wii,Capcom,0,0,0.25,0,0.25
6897,Divinity II: Ego Draconis,X360,DTP Entertainment,0.18,0.04,0,0.02,0.24
6905,Lunar: Silver Star Harmony,PSP,GungHo,0.19,0,0.03,0.02,0.24
6926,Fallout 3 Game Add-On Pack: Broken Steel and Point Lookout,X360,Bethesda Softworks,0.16,0.06,0,0.02,0.24
7153,Ys Seven,PSP,Falcom Corporation,0.14,0,0.08,0.01,0.22
7230,Tales of Graces,Wii,Namco Bandai Games,0,0,0.22,0,0.22
