Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
92,Super Mario Galaxy 2,Wii,Nintendo,3.66,2.42,0.98,0.64,7.69
126,Donkey Kong Country Returns,Wii,Nintendo,3.25,1.84,1.03,0.47,6.59
461,Epic Mickey,Wii,Disney Interactive Studios,2.06,0.64,0.12,0.22,3.04
588,Super Mario All-Stars: Limited Edition,Wii,Nintendo,1.02,0.52,0.92,0.14,2.6
775,Kirby's Epic Yarn,Wii,Nintendo,1.47,0.09,0.45,0.11,2.12
861,Sonic Classic Collection,DS,Sega,0.99,0.8,0,0.18,1.97
1021,Sonic Colors,Wii,Sega,0.96,0.61,0.01,0.16,1.74
1420,Sonic Colors,DS,Sega,0.74,0.5,0.01,0.13,1.37
2961,The Sly Collection,PS3,Sony Computer Entertainment,0.52,0.09,0.01,0.07,0.69
5256,Mega Man Zero Collection,DS,Capcom,0.21,0.02,0.11,0.02,0.36
5544,Despicable Me: The Game,Wii,D3Publisher,0.19,0.12,0,0.03,0.33
5606,Ben 10 Ultimate Alien: Cosmic Destruction,DS,D3Publisher,0.22,0.08,0,0.03,0.32
5729,Shrek: Forever After,DS,Activision,0.19,0.1,0,0.03,0.31
5853,Shrek: Forever After,Wii,Activision,0.19,0.09,0,0.03,0.3
6002,Ben 10 Ultimate Alien: Cosmic Destruction,Wii,D3Publisher,0.17,0.1,0,0.02,0.29
6725,Ben 10 Ultimate Alien: Cosmic Destruction,PS3,D3Publisher,0.12,0.09,0,0.04,0.25
6737,Dood's Big Adventure,Wii,THQ,0.22,0.01,0,0.02,0.25
6838,Ben 10 Ultimate Alien: Cosmic Destruction,PSP,D3Publisher,0.1,0.09,0,0.05,0.24
7165,Ben 10 Ultimate Alien: Cosmic Destruction,PS2,D3Publisher,0.13,0.06,0,0.04,0.22
7794,Shrek: Forever After,PS3,Activision,0.16,0.02,0,0.02,0.19
8085,Ben 10 Ultimate Alien: Cosmic Destruction,X360,D3Publisher,0.1,0.06,0,0.02,0.18
8288,Despicable Me: The Game,PSP,D3Publisher,0.05,0.08,0,0.04,0.17
9804,Lost in Shadow,Wii,Konami Digital Entertainment,0.1,0,0.01,0.01,0.12
10462,Despicable Me: The Game,PS2,D3Publisher,0.05,0.04,0,0.01,0.1
10495,Shrek: Forever After,X360,Activision,0.09,0,0,0.01,0.1
10896,Galactic Taz Ball,DS,Warner Bros. Interactive Entertainment,0.09,0,0,0.01,0.09
10904,"Prinny 2: Dawn of Operation Panties, Dood!",PSP,Nippon Ichi Software,0.05,0,0.03,0.01,0.09
12194,Sly 2: Band of Thieves,PS3,Sony Computer Entertainment,0,0.05,0,0.02,0.07
13439,Ape Escape,PS3,Sony Computer Entertainment,0,0.03,0,0.01,0.05
13576,The Kore Gang,Wii,Flashpoint Games,0.04,0,0,0,0.04
15266,Dragon's Lair,DS,Destineer,0.02,0,0,0,0.02
