Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
17,Grand Theft Auto V,PS3,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
24,Grand Theft Auto V,X360,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
147,The Last of Us,PS3,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99
235,Luigi's Mansion: Dark Moon,3DS,Nintendo,1.78,1.39,1.1,0.3,4.58
308,Assassin's Creed IV: Black Flag,PS3,Ubisoft,1.33,1.71,0.13,0.73,3.89
402,Assassin's Creed IV: Black Flag,X360,Ubisoft,1.9,1.14,0.01,0.29,3.34
455,The Legend of Zelda: A Link Between Worlds,3DS,Nintendo,1.4,0.99,0.46,0.22,3.07
547,Assassin's Creed IV: Black Flag,PS4,Ubisoft,1.07,1.31,0.06,0.31,2.74
613,Tomb Raider (2013),PS3,Square Enix,0.6,1.31,0.08,0.52,2.51
656,Batman: Arkham Origins,PS3,Warner Bros. Interactive Entertainment,1.07,0.87,0.04,0.4,2.39
692,LEGO Marvel Super Heroes,X360,Warner Bros. Interactive Entertainment,1.24,0.85,0,0.21,2.3
697,God of War: Ascension,PS3,Sony Computer Entertainment,1.23,0.68,0.04,0.34,2.29
733,Assassin's Creed IV: Black Flag,XOne,Ubisoft,1.47,0.55,0,0.19,2.21
848,LEGO Marvel Super Heroes,PS3,Warner Bros. Interactive Entertainment,0.77,0.85,0.01,0.37,2
887,Batman: Arkham Origins,X360,Warner Bros. Interactive Entertainment,1.15,0.61,0,0.17,1.93
895,Tomb Raider (2013),X360,Square Enix,0.86,0.87,0.01,0.17,1.92
980,The Legend of Zelda: The Wind Waker,WiiU,Nintendo,0.93,0.57,0.14,0.13,1.77
1031,Disney Infinity,Wii,Disney Interactive Studios,1.15,0.44,0,0.14,1.73
1062,Saints Row IV,X360,Deep Silver,1.01,0.53,0.01,0.14,1.69
1195,LEGO Marvel Super Heroes,PS4,Warner Bros. Interactive Entertainment,0.59,0.75,0.01,0.21,1.56
1210,Dead Rising 3,XOne,Microsoft Game Studios,1.06,0.35,0.01,0.12,1.54
1293,Metal Gear Rising: Revengeance,PS3,Konami Digital Entertainment,0.45,0.4,0.44,0.18,1.47
1348,Disney Infinity,X360,Disney Interactive Studios,0.96,0.37,0,0.11,1.43
1433,Ryse: Son of Rome,XOne,Microsoft Game Studios,0.82,0.42,0,0.11,1.36
1519,Saints Row IV,PS3,Deep Silver,0.56,0.44,0.09,0.21,1.3
2009,LEGO Marvel Super Heroes,XOne,Warner Bros. Interactive Entertainment,0.61,0.34,0,0.09,1.04
2077,Dead Space 3,PS3,Electronic Arts,0.44,0.38,0,0.17,1
2079,Disney Infinity,PS3,Disney Interactive Studios,0.48,0.35,0,0.16,1
2083,Dead Space 3,X360,Electronic Arts,0.64,0.28,0,0.08,0.99
2089,Tom Clancy's Splinter Cell: Blacklist,X360,Ubisoft,0.57,0.34,0.01,0.08,0.99
2123,Tom Clancy's Splinter Cell: Blacklist,PS3,Ubisoft,0.34,0.41,0.06,0.18,0.98
2124,Pro Evolution Soccer 2014,PS3,Konami Digital Entertainment,0.03,0.43,0.51,0.01,0.98
