Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
189,Tomodachi Life,3DS,Nintendo,0.96,2.02,1.89,0.28,5.15
1337,SimCity (2013),PC,Electronic Arts,0.48,0.77,0,0.19,1.44
4955,Farming Simulator 2013,X360,Focus Home Interactive,0.22,0.13,0,0.03,0.39
5421,Zoo Tycoon (2013),XOne,Microsoft Game Studios,0.18,0.13,0,0.03,0.34
6771,Disney's Planes,DS,Disney Interactive Studios,0.13,0.1,0,0.02,0.25
7410,Disney's Planes,WiiU,Disney Interactive Studios,0.15,0.04,0,0.02,0.21
8371,Disney's Planes,Wii,Disney Interactive Studios,0.08,0.07,0,0.02,0.17
8612,Farming Simulator 2013,PS3,Focus Home Interactive,0,0.1,0.02,0.04,0.16
9974,Armored Core: Verdict Day,PS3,From Software,0,0,0.12,0,0.12
10743,Zoo Tycoon (2013),X360,Microsoft Game Studios,0.02,0.07,0,0.01,0.1
11341,X Rebirth,PC,Koch Media,0,0.08,0,0.01,0.08
11850,Disney's Planes,3DS,Disney Interactive Studios,0.04,0.03,0,0.01,0.07
13498,Nobunaga's Ambition (3DS),3DS,Tecmo Koei,0,0,0.04,0,0.04
13590,Ore no Imouto ga Konna ni Kawaii Wake ga Nai Happy EnD,PS3,Namco Bandai Games,0,0,0.04,0,0.04
14261,Tamagotchi no Doki Doki Dream Omisecchi,3DS,Namco Bandai Games,0,0,0.03,0,0.03
14282,Cooking Mama 5: Bon Appetit!,3DS,Office Create,0,0,0.03,0,0.03
14530,Muv-Luv Alternative: Total Eclipse,PS3,5pb,0,0,0.03,0,0.03
15520,X-Plane 10 Global,PC,Aerosoft,0,0.02,0,0,0.02
