Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1209,Mario Party 10,WiiU,Nintendo,0.69,0.5,0.24,0.11,1.55
1672,Just Dance 2016,Wii,Ubisoft,0.52,0.59,0,0.1,1.2
2544,Guitar Hero Live,PS4,Activision,0.32,0.35,0,0.13,0.81
2731,Rare Replay,XOne,Microsoft Game Studios,0.47,0.21,0.01,0.07,0.75
2884,Rhythm Heaven: The Best+,3DS,Nintendo,0,0,0.71,0,0.71
2967,Nintendo Presents: New Style Boutique 2 - Fashion Forward,3DS,Nintendo,0.01,0.61,0.02,0.04,0.69
3444,Just Dance 2016,WiiU,Ubisoft,0.28,0.25,0,0.05,0.58
3944,Guitar Hero Live,XOne,Activision,0.29,0.17,0,0.05,0.51
4309,Persona 4: Dancing All Night,PSV,Nippon Ichi Software,0.13,0.1,0.15,0.07,0.46
4512,Rock Band 4,XOne,Harmonix Music Systems,0.35,0.04,0,0.04,0.43
4659,Animal Crossing: Amiibo Festival,WiiU,Nintendo,0.19,0.11,0.09,0.03,0.42
5159,Rock Band 4,PS4,Harmonix Music Systems,0.25,0.05,0,0.07,0.37
5228,Just Dance 2016,X360,Ubisoft,0.23,0.1,0,0.03,0.36
5347,Just Dance 2016,PS4,Ubisoft,0.16,0.13,0,0.06,0.35
5693,Just Dance 2016,XOne,Ubisoft,0.24,0.04,0,0.03,0.32
5727,Hatsune Miku: Project Mirai DX,3DS,Sega,0.15,0.04,0.1,0.02,0.31
6177,Guitar Hero Live,PS3,Activision,0.09,0.14,0,0.05,0.28
6922,Guitar Hero Live,X360,Activision,0.12,0.1,0,0.02,0.24
7260,Just Dance 2016,PS3,Ubisoft,0.1,0.08,0,0.04,0.22
8106,Guitar Hero Live,WiiU,Activision,0.12,0.04,0,0.02,0.18
8801,Theatrhythm Dragon Quest,3DS,Square Enix,0,0,0.15,0,0.15
9473,Hasbro Family Fun Pack,XOne,Ubisoft,0.1,0.02,0,0.01,0.13
10299,PriPara Mezase! Idol Grand Prix No.1!,3DS,Takara Tomy,0,0,0.11,0,0.11
11775,Aikatsu! My No.1 Stage!,3DS,Namco Bandai Games,0,0,0.07,0,0.07
12026,IA/VT Colorful,PSV,Marvelous Entertainment,0,0,0.07,0,0.07
12400,Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!,WiiU,Namco Bandai Games,0,0,0.06,0,0.06
12855,Miracle Girls Festival,PSV,Sega,0,0,0.05,0,0.05
12859,Saki: Zenkoku-hen,PSV,Kaga Create,0,0,0.05,0,0.05
13938,The Idolm@ster: Must Songs - Red Board / Blue Board,PSV,Namco Bandai Games,0,0,0.04,0,0.04
14110,DoraMoji: Nobita no Kanji Daisakusen,3DS,Shogakukan,0,0,0.03,0,0.03
14271,YoKai Watch Dance: Just Dance Special Version,WiiU,Level 5,0,0,0.03,0,0.03
14831,Dream Girl Premier,3DS,Alchemist,0,0,0.03,0,0.03
14885,God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,PS4,Namco Bandai Games,0,0,0.03,0,0.03
15387,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.7,PS3,Namco Bandai Games,0,0,0.02,0,0.02
15498,Spirits and Demons: 5 Game Pack,PC,Focus Multimedia,0,0.02,0,0,0.02
15577,7 Roses: A Darkness Rises,PC,Avanquest Software,0,0.02,0,0,0.02
15584,Niko Puchi Girls Runway,3DS,Happinet,0,0,0.02,0,0.02
16459,Art Academy: Home Studio,WiiU,Nintendo,0,0,0.01,0,0.01
16545,Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,3DS,Nintendo,0,0,0.01,0,0.01
