Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1960,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,Namco Bandai Games,0.39,0.41,0.1,0.16,1.06
2244,Pokken Tournament,WiiU,Namco Bandai Games,0.47,0.22,0.16,0.07,0.93
2513,Street Fighter V,PS4,Capcom,0.35,0.26,0.08,0.13,0.82
6126,One Piece: Burning Blood,PS4,Namco Bandai Games,0.1,0.08,0.07,0.04,0.28
6159,Naruto Shippuden: Ultimate Ninja Storm 4,XOne,Namco Bandai Games,0.19,0.06,0,0.03,0.28
10266,One Piece: Burning Blood,PSV,Namco Bandai Games,0,0.03,0.07,0.01,0.11
10854,The King of Fighters XIV,PS4,Deep Silver,0.04,0.01,0.03,0.01,0.09
11897,Guilty Gear Xrd -Revelator-,PS4,PQube,0.02,0,0.05,0,0.07
12014,Guilty Gear Xrd -Revelator-,PS3,PQube,0.01,0.02,0.02,0.01,0.07
13046,Street Fighter V,PC,Capcom,0,0.05,0,0,0.05
13765,One Piece: Burning Blood,XOne,Namco Bandai Games,0.03,0.01,0,0,0.04
14316,Gakusen Toshi Asterisk Festa: Houka Kenran,PSV,Namco Bandai Games,0,0,0.03,0,0.03
15889,Koihime Enbu,PS4,Yeti,0,0,0.02,0,0.02
16001,One Piece: Daikaizoku Coliseum,3DS,Namco Bandai Games,0,0,0.01,0,0.01
