Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
432,LEGO Batman: The Videogame,Wii,Warner Bros. Interactive Entertainment,1.86,1.02,0,0.29,3.17
653,LEGO Indiana Jones: The Original Adventures,Wii,LucasArts,1.54,0.63,0,0.22,2.39
1435,LEGO Harry Potter: Years 5-7,Wii,Warner Bros. Interactive Entertainment,0.76,0.47,0,0.13,1.36
1500,LEGO Batman: The Videogame,PSP,Warner Bros. Interactive Entertainment,0.57,0.46,0,0.28,1.32
1587,Combat,2600,Atari,1.17,0.07,0,0.01,1.25
1699,Hitman 2: Silent Assassin,XB,Eidos Interactive,0.76,0.38,0,0.05,1.19
1992,Legacy of Kain: Soul Reaver,PS,Eidos Interactive,0.58,0.4,0,0.07,1.04
2088,LEGO Harry Potter: Years 5-7,X360,Warner Bros. Interactive Entertainment,0.51,0.39,0,0.09,0.99
2136,Yakuza 4,PS3,Sega,0.15,0.14,0.63,0.05,0.97
2147,LEGO Harry Potter: Years 5-7,PS3,Warner Bros. Interactive Entertainment,0.36,0.45,0,0.16,0.97
2417,The Lord of the Rings: War in the North,PS3,Warner Bros. Interactive Entertainment,0.25,0.45,0.01,0.15,0.86
2424,The Lord of the Rings: War in the North,X360,Warner Bros. Interactive Entertainment,0.52,0.26,0,0.08,0.86
2840,LEGO Harry Potter: Years 5-7,DS,Warner Bros. Interactive Entertainment,0.35,0.3,0,0.07,0.72
3051,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,Disney Interactive Studios,0.48,0.18,0,0.01,0.67
3240,Metal Gear Solid 2: Substance,XB,Konami Digital Entertainment,0.38,0.22,0,0.03,0.62
3348,The Golden Compass,Wii,Sega,0.26,0.28,0,0.07,0.6
4234,Circus Atari,2600,Atari,0.43,0.03,0,0,0.46
4380,Maze Craze: A Game of Cops 'n Robbers,2600,Atari,0.42,0.02,0,0,0.45
4382,Silent Hill: Homecoming,X360,Konami Digital Entertainment,0.25,0.16,0,0.04,0.45
4474,Robert Ludlum's The Bourne Conspiracy,X360,Vivendi Games,0.26,0.14,0,0.04,0.44
4793,LEGO Harry Potter: Years 5-7,3DS,Warner Bros. Interactive Entertainment,0.18,0.19,0,0.04,0.4
4860,Silent Hill: Homecoming,PS3,Konami Digital Entertainment,0.18,0.15,0,0.06,0.4
4936,Robert Ludlum's The Bourne Conspiracy,PS3,Vivendi Games,0.18,0.14,0,0.06,0.39
5080,The Golden Compass,PSP,Sega,0.11,0.16,0,0.1,0.38
5197,Cubix Robots for Everyone: Clash 'n' Bash,GBA,Unknown,0.26,0.1,0,0.01,0.36
5242,Tomb Raider (2013),PC,Square Enix,0.06,0.25,0,0.05,0.36
5304,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,N/A,0.15,0.05,0.14,0.01,0.35
5800,Slot Machine,2600,Atari,0.29,0.02,0,0,0.31
5840,Shrek the Third,DS,Activision,0.26,0.02,0,0.02,0.3
6044,Nicktoons: Battle for Volcano Island,GC,Unknown,0.22,0.06,0,0.01,0.29
6197,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,Disney Interactive Studios,0.22,0.06,0,0.01,0.28
6274,The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,N/A,0,0,0.27,0.01,0.27
6318,Flag Capture,2600,Atari,0.25,0.02,0,0,0.27
6321,LEGO Harry Potter: Years 5-7,PSP,Warner Bros. Interactive Entertainment,0.1,0.11,0,0.06,0.27
7215,LEGO Harry Potter: Years 5-7,PC,Warner Bros. Interactive Entertainment,0.05,0.14,0,0.03,0.22
7371,Ghostbusters II,2600,Activision,0.2,0.01,0,0,0.21
7650,Dead Space 3,PC,Electronic Arts,0.02,0.15,0,0.02,0.2
8159,Twisted Metal: Small Brawl,PS,Unknown,0.1,0.07,0,0.01,0.18
8225,Teen Titans,GBA,Unknown,0.13,0.05,0,0,0.17
8336,James Cameron's Dark Angel,PS2,Universal Interactive,0.08,0.07,0,0.02,0.17
8441,Splatterhouse,PS3,Namco Bandai Games,0.13,0.02,0,0.02,0.17
8709,Jurassic Park: The Game,X360,Unknown,0.15,0,0,0.01,0.16
9153,WCW Backstage Assault,N64,Unknown,0.11,0.03,0,0,0.14
9983,Happy Feet Two,DS,Warner Bros. Interactive Entertainment,0.09,0.02,0,0.01,0.12
10467,Happy Feet Two,PS3,Warner Bros. Interactive Entertainment,0.09,0.01,0,0.01,0.1
10692,Happy Feet Two,X360,Warner Bros. Interactive Entertainment,0.08,0.01,0,0.01,0.1
10999,Demon Chaos,PS2,Konami Digital Entertainment,0,0,0.09,0,0.09
11078,Action Man-Operation Extreme,PS,N/A,0.05,0.03,0,0.01,0.09
11144,Happy Feet Two,Wii,Warner Bros. Interactive Entertainment,0.07,0.01,0,0.01,0.09
11411,Zero: Tsukihami no Kamen,Wii,Nintendo,0,0,0.08,0,0.08
11575,Dead Island: Riptide,PC,Deep Silver,0,0.07,0,0.01,0.08
11940,Tornado,DS,Ignition Entertainment,0.07,0,0,0,0.07
11978,McFarlane's Evil Prophecy,PS2,Konami Digital Entertainment,0.03,0.03,0,0.01,0.07
12131,Alex Rider: Stormbreaker,DS,THQ,0.06,0,0,0,0.07
12519,Prinny: Can I Really Be The Hero? (US sales),PSP,N/A,0.06,0,0,0,0.06
12628,Captain America: Super Soldier,Wii,Sega,0.05,0,0,0,0.06
12827,Captain America: Super Soldier,DS,Sega,0.05,0,0,0,0.05
14089,Housekeeping,DS,N/A,0,0,0.04,0,0.04
14380,Fullmetal Alchemist: Brotherhood,PSP,Unknown,0,0,0.03,0,0.03
14699,Super Duper Sumos,GBA,Unknown,0.02,0.01,0,0,0.03
15879,Dinotopia: The Sunstone Odyssey,GC,Unknown,0.01,0,0,0,0.02
16068,Aquaman: Battle for Atlantis,XB,Unknown,0.01,0,0,0,0.01
16496,The Smurfs,3DS,Unknown,0,0.01,0,0,0.01
