Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
471,wwe Smackdown vs. Raw 2006,PS2,N/A,1.57,1.02,0,0.41,3
3717,Def Jam: Fight for NY,XB,Electronic Arts,0.43,0.1,0,0.02,0.54
4153,Karate,2600,Ultravision,0.44,0.03,0,0,0.47
7353,Yu Yu Hakusho: Dark Tournament,PS2,N/A,0.1,0.08,0,0.03,0.21
8378,Sword of the Samurai,PS2,Ubisoft,0,0,0.17,0,0.17
9477,Street Fighter IV,PC,Capcom,0.07,0.04,0,0.02,0.13
9822,Godzilla: Destroy All Monsters Melee,XB,Unknown,0.09,0.03,0,0,0.12
10981,Samurai Shodown Anthology,PSP,Ignition Entertainment,0.08,0,0,0.01,0.09
14048,Swords,Wii,Unknown,0.03,0,0,0,0.04
14525,Samurai Spirits: Tenkaichi Kenkakuden,PS2,Unknown,0,0,0.03,0,0.03
14679,Tom and Jerry in War of the Whiskers,XB,Unknown,0.02,0.01,0,0,0.03
14858,The King of Fighters: Maximum Impact - Maniax,XB,Unknown,0.02,0.01,0,0,0.03
