Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
625,Rock Band,X360,Electronic Arts,1.93,0.34,0,0.21,2.48
784,Rock Band,Wii,MTV Games,1.35,0.56,0,0.2,2.11
1135,Rock Band,PS3,Electronic Arts,0.99,0.41,0,0.22,1.62
1839,Rock Band,PS2,Electronic Arts,0.71,0.06,0,0.35,1.11
2175,Wheel of Fortune,PS2,Unknown,0.47,0.36,0,0.12,0.95
2288,Namco Museum,XB,Unknown,0.77,0.11,0,0.04,0.91
2297,Rhythm Heaven,Wii,Unknown,0.13,0,0.77,0.01,0.9
6213,Pac-Man Fever,GC,Unknown,0.21,0.06,0,0.01,0.28
6403,Rock Revolution,PS3,Unknown,0.25,0,0,0.02,0.27
6779,Mega Man X Collection,PS2,Unknown,0.12,0.09,0,0.03,0.24
6921,Danganronpa: Trigger Happy Havoc,PSP,Unknown,0,0,0.24,0,0.24
6928,DanceDanceRevolution II,Wii,Konami Digital Entertainment,0.22,0,0,0.02,0.24
8622,Vegas Party,Wii,Unknown,0.15,0,0,0.01,0.16
8901,eJay Clubworld,PS2,Empire Interactive,0.07,0.06,0,0.02,0.15
9842,Rocksmith,PC,Unknown,0.06,0.04,0,0.01,0.12
11545,Rock Revolution,Wii,Unknown,0.07,0,0,0.01,0.08
12129,Build-A-Bear Workshop: Friendship Valley,Wii,Unknown,0.06,0,0,0,0.07
12137,Yoostar on MTV,X360,Unknown,0.06,0,0,0,0.07
12214,National Geographic Challenge!,X360,Unknown,0.06,0,0,0,0.07
12881,Reader Rabbit 2nd Grade,Wii,Unknown,0.05,0,0,0,0.05
13057,Battle vs. Chess,PS3,TopWare Interactive,0,0.04,0,0.01,0.05
14299,Bikkuriman Daijiten,DS,N/A,0,0,0.03,0,0.03
14586,Battle vs. Chess,PC,TopWare Interactive,0,0.02,0,0.01,0.03
15001,Payout Poker & Casino,PSP,Unknown,0.02,0,0,0,0.02
15609,Writing and Speaking Beautiful Japanese DS,DS,Unknown,0,0,0.02,0,0.02
15700,Shonen Jump's Yu-Gi-Oh! GX Card Almanac,DS,Konami Digital Entertainment,0,0,0.02,0,0.02
15881,Dance! It's Your Stage,Wii,DTP Entertainment,0,0.01,0,0,0.02
15918,Dream Dancer,DS,N/A,0.01,0,0,0,0.02
16201,AKB1/48: Idol to Guam de Koishitara...,X360,N/A,0,0,0.01,0,0.01
