Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2021,Donkey Kong Land III,GB,Nintendo,0.68,0.31,0,0.04,1.03
4147,Sonic the Hedgehog,PS3,N/A,0,0.48,0,0,0.48
6127,Haven: Call of the King,PS2,Midway Games,0.14,0.11,0,0.04,0.28
9312,Disney's Cinderella: Magical Dreams,GBA,Disney Interactive Studios,0.1,0.04,0,0,0.14
9771,Saru! Get You! Million Monkeys,PS2,Unknown,0,0,0.12,0,0.12
12668,Flip's Twisted World,Wii,Unknown,0.05,0,0,0,0.06
12931,Drill Dozer,GBA,Unknown,0.04,0.01,0,0,0.05
14162,Sabre Wulf,GBA,THQ,0.02,0.01,0,0,0.03
15211,Steal Princess,DS,Unknown,0.02,0,0,0,0.02
16197,Shorts,DS,Unknown,0.01,0,0,0,0.01
