Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2788,WarioWare: Twisted!,GBA,Unknown,0.16,0.06,0.5,0.02,0.74
4471,Super Breakout,2600,Atari,0.41,0.03,0,0,0.44
5063,Hangman,2600,Atari,0.35,0.02,0,0,0.38
5173,Bejeweled 3,DS,Unknown,0.32,0.02,0,0.03,0.36
7372,Breakaway IV,2600,Sears,0.2,0.01,0,0,0.21
9173,Bejeweled 3,PS3,Unknown,0.13,0,0,0.01,0.14
9253,Bejeweled 3,X360,Unknown,0.13,0,0,0.01,0.14
9524,Nintendo Puzzle Collection,GC,Unknown,0,0,0.13,0,0.13
11110,Super Puzzle Fighter II,GBA,Capcom,0.06,0.02,0,0,0.09
12250,Jewel Link Chronicles: Mountains of Madness,DS,Avanquest,0,0.06,0,0.01,0.06
13677,Luxor: Pharaoh's Challenge,Wii,Funsta,0.01,0.03,0,0,0.04
