Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1651,NASCAR Thunder 2003,PS2,Unknown,0.6,0.46,0,0.16,1.22
2949,Test Drive Unlimited 2,X360,Atari,0.3,0.32,0,0.07,0.69
3143,Test Drive Unlimited 2,PS3,Atari,0.16,0.35,0.01,0.12,0.64
3470,NASCAR: Dirt to Daytona,PS2,Unknown,0.28,0.22,0,0.07,0.58
5659,Dragster,2600,Activision,0.3,0.02,0,0,0.32
5863,The Dukes of Hazzard II: Daisy Dukes It Out,PS,Unknown,0.17,0.11,0,0.02,0.3
6285,Indy 500,2600,Atari,0.26,0.01,0,0,0.27
6970,Jet X20,PS2,Unknown,0.11,0.09,0,0.03,0.23
7425,WRC: FIA World Rally Championship,PS3,Black Bean Games,0,0.15,0.01,0.05,0.21
7722,Test Drive Unlimited 2,PC,Atari,0.05,0.11,0,0.03,0.2
9694,WRC: FIA World Rally Championship,X360,Black Bean Games,0,0.1,0,0.02,0.12
11378,Face Racers: Photo Finish,3DS,Majesco Entertainment,0.08,0,0,0,0.08
11800,Smashing Drive,GC,Unknown,0.06,0.01,0,0,0.07
12186,Rayman Arena,XB,Unknown,0.05,0.01,0,0,0.07
12809,GRID,DS,Codemasters,0.04,0.01,0,0,0.06
12924,Tour de France 2011,X360,Focus Home Interactive,0,0.05,0,0.01,0.05
13667,GRID,PC,Codemasters,0,0.03,0,0.01,0.04
13872,Sega Rally 2006,PS2,Unknown,0,0,0.04,0,0.04
14928,Tube Slider,GC,Unknown,0.02,0,0,0,0.02
15479,Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,Unknown,0,0,0.02,0,0.02
15814,Ferrari: The Race Experience,Wii,System 3 Arcade Software,0,0.01,0,0,0.02
16061,WRC: FIA World Rally Championship,PC,Black Bean Games,0,0.01,0,0,0.01
16310,Freaky Flyers,GC,Unknown,0.01,0,0,0,0.01
