Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2116,Suikoden III,PS2,Unknown,0.29,0.23,0.38,0.08,0.98
3196,Monster Hunter 2,PS2,Capcom,0,0,0.63,0,0.63
4685,TERA,PC,Unknown,0.24,0.12,0,0.05,0.41
5510,Custom Robo,N64,Nintendo,0,0,0.29,0.04,0.33
5620,Final Fantasy XI,PS2,Unknown,0.08,0.06,0.15,0.02,0.32
5872,Disgaea 3: Absence of Detention,PSV,Nippon Ichi Software,0.13,0.06,0.07,0.04,0.3
10274,GiFTPiA,GC,Unknown,0,0,0.11,0,0.11
10760,Luminous Arc 2 (JP sales),DS,Unknown,0,0,0.1,0,0.1
10831,Egg Monster Hero,DS,Square Enix,0,0,0.09,0,0.09
11757,Mega Man Battle Network: Operation Shooting Star,DS,Capcom,0,0,0.07,0,0.07
13280,Monster Hunter Frontier Online,PS3,N/A,0,0,0.05,0,0.05
14057,Half-Minute Hero 2,PSP,Rising Star Games,0,0,0.04,0,0.04
14276,Beyond the Labyrinth,3DS,Unknown,0,0,0.03,0,0.03
14852,Legacy of Ys: Books I & II,DS,Unknown,0.02,0,0,0,0.03
15655,Virtua Quest,PS2,Unknown,0.01,0.01,0,0,0.02
16249,Agarest Senki: Re-appearance,PS3,Idea Factory,0,0,0.01,0,0.01
16430,Virtua Quest,GC,Unknown,0.01,0,0,0,0.01
