Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4867,Harvest Moon: Save the Homeland,PS2,Unknown,0.19,0.15,0,0.05,0.4
5915,Harvest Moon: The Tale of Two Towns,3DS,Unknown,0.28,0,0,0.02,0.3
7910,Pet Zombies,3DS,Majesco Entertainment,0.18,0,0,0.01,0.19
7948,Star Trek: Legacy,X360,Ubisoft,0.14,0.03,0,0.02,0.19
8046,Trauma Team,Wii,Unknown,0.15,0,0.02,0.01,0.18
9083,Our House Party!,Wii,Unknown,0.13,0,0,0.01,0.14
9669,Charm Girls Club: My Fashion Mall,DS,Unknown,0.12,0,0,0.01,0.12
10561,My Healthy Cooking Coach,DS,Unknown,0.09,0,0,0.01,0.1
11325,Charm Girls Club: My Fashion Show,DS,Unknown,0.08,0,0,0.01,0.08
12030,Port Royale 3,PS3,Kalypso Media,0.06,0,0,0.01,0.07
12240,Port Royale 3,X360,Kalypso Media,0.06,0,0,0,0.07
12489,Chou Soujuu Mecha MG,DS,N/A,0,0,0.06,0,0.06
12711,Mobile Ops: The One Year War,X360,Namco Bandai Games,0,0,0.06,0,0.06
14315,Majesty 2: The Fantasy Kingdom Sim,X360,Unknown,0.03,0,0,0,0.03
14879,Combat Wings: The Great Battles of WWII,Wii,City Interactive,0.02,0,0,0,0.03
15903,Jet Impulse,DS,Nintendo,0,0,0.02,0,0.02
