Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3219,Advance Wars: Days of Ruin,DS,Nintendo,0.44,0.13,0,0.06,0.63
5198,Tropico 4,X360,Kalypso Media,0.2,0.13,0,0.03,0.36
7408,Valkyria Chronicles III: Unrecorded Chronicles,PSP,Sega,0,0,0.21,0,0.21
9744,Record of Agarest War Zero,PS3,Ghostlight,0.09,0,0.03,0.01,0.12
9751,Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,PSP,N/A,0,0,0.12,0,0.12
10047,Star Trek: Conquest,PS2,Bethesda Softworks,0.06,0.04,0,0.01,0.11
13158,The History Channel: Great Battles - Medieval,PS3,Slitherine Software,0,0.04,0,0.01,0.05
13479,RollerCoaster Tycoon,PC,Microprose,0.02,0.02,0,0.01,0.04
14058,Clockwork Empires,PC,Unknown,0,0.03,0,0,0.04
16194,Homeworld Remastered Collection,PC,N/A,0,0.01,0,0,0.01
