,Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo
0,2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,1,1,1
1,2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,4,3,2
2,2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,0,0,1
3,2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,0,0,0
4,2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Tentativa de homicidio doloso,Tentativa de homicidio doloso,1,0,1
5,2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,0,0,0
6,2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,0,0,0
7,2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,0,1,0
8,2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de transito,10,8,11
9,2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,1,0,0
10,2026,1,Aguascalientes,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,11,6,4
11,2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,21,21,31
12,2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,6,1,4
13,2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,163,176,305
14,2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,48,56,6
15,2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,0,1,0
16,2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,0,1,0
17,2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,9,7,10
18,2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de transito,79,80,81
19,2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,0,4,1
20,2026,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,0,0,0
21,2026,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,0,0,0
22,2026,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,0,0,0
23,2026,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,0,0,0
24,2026,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Tentativa de feminicidio,Tentativa de feminicidio,0,0,1
25,2026,1,Aguascalientes,La vida y la Integridad corporal,Aborto,Aborto,Aborto,1,1,0
26,2026,1,Aguascalientes,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,1,0
27,2026,1,Aguascalientes,Libertad personal,Secuestro,Secuestro extorsivo,Secuestro extorsivo,0,0,0
28,2026,1,Aguascalientes,Libertad personal,Secuestro,Secuestro con calidad de rehen,Secuestro con calidad de rehen,0,0,0
29,2026,1,Aguascalientes,Libertad personal,Secuestro,Secuestro para causar dano,Secuestro para causar dano,0,0,0
30,2026,1,Aguascalientes,Libertad personal,Secuestro,Secuestro expres,Secuestro expres,0,0,0
31,2026,1,Aguascalientes,Libertad personal,Trafico de menores,Trafico de menores,Trafico de menores,0,0,0
32,2026,1,Aguascalientes,Libertad personal,Rapto,Rapto,Rapto,0,0,0
33,2026,1,Aguascalientes,Libertad personal,Privacion ilegal de la libertad,Privacion ilegal de la libertad,Privacion ilegal de la libertad,8,4,6
34,2026,1,Aguascalientes,Libertad personal,Retencion o sustraccion de menores e incapaces,Retencion o sustraccion de menores e incapaces,Retencion o sustraccion de menores e incapaces,13,13,15
35,2026,1,Aguascalientes,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,0,0,48
36,2026,1,Aguascalientes,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,39,41,5
37,2026,1,Aguascalientes,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,0,0,0
38,2026,1,Aguascalientes,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,11,6,12
39,2026,1,Aguascalientes,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,0,0,0
40,2026,1,Aguascalientes,La libertad y la seguridad sexual,Violacion,Violacion simple,Violacion simple,18,12,14
41,2026,1,Aguascalientes,La libertad y la seguridad sexual,Violacion,Violacion equiparada,Violacion equiparada,10,15,12
42,2026,1,Aguascalientes,La libertad y la seguridad sexual,Violacion a la intimidad sexual,Violacion a la intimidad sexual,Violacion a la intimidad sexual,0,0,0
43,2026,1,Aguascalientes,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,11,8,8
44,2026,1,Aguascalientes,El patrimonio,Robo,Robo a casa habitacion,Con violencia,9,2,2
45,2026,1,Aguascalientes,El patrimonio,Robo,Robo a casa habitacion,Sin violencia,142,101,131
46,2026,1,Aguascalientes,El patrimonio,Robo,Robo de vehiculo automotor - Coche de 4 ruedas,Con violencia,5,2,1
47,2026,1,Aguascalientes,El patrimonio,Robo,Robo de vehiculo automotor - Coche de 4 ruedas,Sin violencia,24,18,17
48,2026,1,Aguascalientes,El patrimonio,Robo,Robo de vehiculo automotor - Motocicleta,Con violencia,1,7,8
49,2026,1,Aguascalientes,El patrimonio,Robo,Robo de vehiculo automotor - Motocicleta,Sin violencia,71,84,81
50,2026,1,Aguascalientes,El patrimonio,Robo,Robo de vehiculo automotor - Embarcaciones,Con violencia,0,0,0
51,2026,1,Aguascalientes,El patrimonio,Robo,Robo de vehiculo automotor - Embarcaciones,Sin violencia,0,0,0
52,2026,1,Aguascalientes,El patrimonio,Robo,Robo de autopartes,Con violencia,0,0,0
53,2026,1,Aguascalientes,El patrimonio,Robo,Robo de autopartes,Sin violencia,18,9,19
54,2026,1,Aguascalientes,El patrimonio,Robo,Robo a transportista,Con violencia,0,0,0
55,2026,1,Aguascalientes,El patrimonio,Robo,Robo a transportista,Sin violencia,0,0,0
56,2026,1,Aguascalientes,El patrimonio,Robo,Robo a transeunte en via publica,Con violencia,37,31,49
57,2026,1,Aguascalientes,El patrimonio,Robo,Robo a transeunte en via publica,Sin violencia,65,45,59
58,2026,1,Aguascalientes,El patrimonio,Robo,Robo a transeunte en espacio abierto al publico,Con violencia,0,2,0
59,2026,1,Aguascalientes,El patrimonio,Robo,Robo a transeunte en espacio abierto al publico,Sin violencia,0,0,1
60,2026,1,Aguascalientes,El patrimonio,Robo,Robo en transporte publico individual,Con violencia,3,4,11
61,2026,1,Aguascalientes,El patrimonio,Robo,Robo en transporte publico individual,Sin violencia,6,3,5
62,2026,1,Aguascalientes,El patrimonio,Robo,Robo en transporte publico colectivo,Con violencia,0,0,0
63,2026,1,Aguascalientes,El patrimonio,Robo,Robo en transporte publico colectivo,Sin violencia,2,1,1
64,2026,1,Aguascalientes,El patrimonio,Robo,Robo en transporte individual,Con violencia,2,0,1
65,2026,1,Aguascalientes,El patrimonio,Robo,Robo en transporte individual,Sin violencia,0,0,1
66,2026,1,Aguascalientes,El patrimonio,Robo,Robo a institucion bancaria,Con violencia,0,0,0
67,2026,1,Aguascalientes,El patrimonio,Robo,Robo a institucion bancaria,Sin violencia,0,0,0
68,2026,1,Aguascalientes,El patrimonio,Robo,Robo a negocio,Con violencia,20,11,33
69,2026,1,Aguascalientes,El patrimonio,Robo,Robo a negocio,Sin violencia,111,108,126
70,2026,1,Aguascalientes,El patrimonio,Robo,Robo de ganado,Con violencia,0,0,0
71,2026,1,Aguascalientes,El patrimonio,Robo,Robo de ganado,Sin violencia,12,17,13
72,2026,1,Aguascalientes,El patrimonio,Robo,Robo de maquinaria - Herramienta industrial o agricola,Con violencia,0,0,0
73,2026,1,Aguascalientes,El patrimonio,Robo,Robo de maquinaria - Herramienta industrial o agricola,Sin violencia,0,0,0
74,2026,1,Aguascalientes,El patrimonio,Robo,Robo de maquinaria - Tractores y/o montacargas,Con violencia,0,0,0
75,2026,1,Aguascalientes,El patrimonio,Robo,Robo de maquinaria - Tractores y/o montacargas,Sin violencia,0,0,1
76,2026,1,Aguascalientes,El patrimonio,Robo,"Robo de maquinaria - Cables, tubos y otros objetos destinados a servicios publicos",Con violencia,0,0,0
77,2026,1,Aguascalientes,El patrimonio,Robo,"Robo de maquinaria - Cables, tubos y otros objetos destinados a servicios publicos",Sin violencia,0,0,0
78,2026,1,Aguascalientes,El patrimonio,Robo,Otros robos,Con violencia,1,5,2
79,2026,1,Aguascalientes,El patrimonio,Robo,Otros robos,Sin violencia,170,168,196
80,2026,1,Aguascalientes,El patrimonio,Fraude,Fraude,Fraude,193,165,243
81,2026,1,Aguascalientes,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,71,64,72
82,2026,1,Aguascalientes,El patrimonio,Extorsion,Extorsion presencial,Extorsion presencial,1,0,0
